query_id,expanded_reads,unique_sectors,baseline_sector_rereads,bonus_exposures,unique_bonus_nodes,bonus_in_gt100,bonus_visited_later,bonus_in_final_topk,bonus_gt100_fraction,bonus_later_fraction,bonus_final_fraction,estimated_avoidable_reads,estimated_io_savings_fraction
0,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
1,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
2,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
3,107,105,2,426,420,2,2,0,0.004761904761904762,0.004761904761904762,0.0,2,0.018691588785046728
4,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
5,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
6,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
7,108,107,1,431,428,1,1,0,0.002336448598130841,0.002336448598130841,0.0,1,0.009259259259259259
8,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
9,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
10,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
11,107,106,1,427,424,2,1,0,0.0047169811320754715,0.0023584905660377358,0.0,1,0.009345794392523364
12,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
13,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
14,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
15,109,108,1,435,432,1,1,0,0.0023148148148148147,0.0023148148148148147,0.0,1,0.009174311926605505
16,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
17,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
18,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
19,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
20,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
21,105,103,2,418,412,2,2,0,0.0048543689320388345,0.0048543689320388345,0.0,2,0.01904761904761905
22,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
23,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
24,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
25,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
26,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
27,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
28,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
29,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
30,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
31,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
32,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
33,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
34,110,109,1,439,436,1,1,0,0.0022935779816513763,0.0022935779816513763,0.0,1,0.00909090909090909
35,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
36,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
37,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
38,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
39,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
40,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
41,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
42,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
43,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
44,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
45,108,107,1,431,428,1,1,0,0.002336448598130841,0.002336448598130841,0.0,1,0.009259259259259259
46,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
47,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
48,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
49,105,103,2,418,412,2,2,0,0.0048543689320388345,0.0048543689320388345,0.0,2,0.01904761904761905
50,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
51,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
52,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
53,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
54,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
55,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
56,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
57,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
58,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
59,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
60,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
61,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
62,108,107,1,431,428,1,1,0,0.002336448598130841,0.002336448598130841,0.0,1,0.009259259259259259
63,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
64,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
65,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
66,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
