qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,100,10763,1929,8618,106,11115,54,449,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,100,8736,1133,7420,105,11151,53,449,413247,413071,706838,880592,249062,400194,942339,880462,987636,941776
2,100,12377,1588,10571,107,10675,54,449,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,100,11938,1516,10204,107,9629,54,449,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,100,9618,1311,8115,107,11043,54,449,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,100,11409,1647,9529,106,11333,55,449,187470,67875,220473,460733,896005,27746,943689,669622,947299,515025
6,100,12712,2005,10473,109,11802,55,449,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,100,14098,2297,11560,108,9533,55,449,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,100,12782,2322,10201,106,11443,54,449,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,100,12388,2336,9818,107,10984,55,449,178811,177646,181997,181605,821938,807785,716433,358802,803100,866737
10,100,13104,2534,10325,106,11482,54,449,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,100,14349,2928,11152,107,10927,54,449,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,100,14408,2982,11139,105,10738,53,449,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,100,14331,3129,10921,105,10948,53,449,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,100,18137,3742,14074,108,11303,55,449,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,100,15948,3421,12241,110,11176,56,449,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,100,15275,3271,11712,107,10972,54,449,796844,796217,798456,23370,426178,217222,511690,685252,563318,352400
17,100,13918,3028,10610,106,11483,54,449,394163,882972,117181,803788,579505,865734,862392,862676,481816,601678
18,100,15684,3357,12043,105,11197,53,449,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,100,16405,3474,12635,105,11059,53,449,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,100,15002,3184,11529,107,10052,54,449,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,100,17384,3140,13967,105,10654,53,449,4490,4457,440896,105025,30046,214449,214475,234950,337194,566609
22,100,13645,3042,10330,107,10576,54,449,31629,68360,426465,4957,558357,4784,483146,281276,633279,482791
23,100,22505,4017,18176,109,11206,55,449,364790,686808,363583,452484,931784,452900,526788,219735,176512,290169
24,100,19262,3978,14942,107,11159,54,449,4630,4554,804007,784790,279489,4623,242430,279275,188771,292781
25,100,11219,2729,8243,105,10439,53,449,719083,87978,292469,814403,381318,514619,514508,292181,814205,465858
26,100,13329,3073,10000,107,11040,55,449,426883,426756,10021,525190,910741,475114,514206,321539,9899,515955
27,100,14730,3277,11179,105,10538,53,449,291918,955290,5963,955277,278725,363739,291938,176129,717127,176295
28,100,13659,3202,10197,107,10850,54,449,725057,422521,678265,210568,905060,724824,678649,103965,515173,571604
29,100,18891,3236,15378,109,9530,55,449,5453,555262,555280,556974,793183,792959,640564,678014,638091,715416
30,100,14426,3217,10931,106,10746,54,449,534527,540700,825845,528396,172473,551649,826344,140175,599948,736536
31,100,14967,3325,11355,107,11179,54,449,5559,4995,4962,5330,4870,401179,401031,703702,401938,749867
32,100,11701,2747,8712,104,10399,53,449,5300,330332,69173,70085,497454,133114,787559,684695,502522,724669
33,100,13142,2976,9904,105,9818,53,449,995079,994843,676916,994880,996246,676649,615911,39929,100515,646457
34,100,15393,3440,11666,110,11478,56,449,149480,154168,540894,188171,364563,238380,845487,364021,707409,68317
35,100,12417,2883,9287,105,10971,53,449,5841,5866,6707,845383,392768,76102,791495,641127,393434,15970
36,100,14402,3360,10760,106,11411,54,449,5842,5867,6708,76101,72420,316027,707838,580180,72336,685009
37,100,12165,2748,9159,105,10022,53,449,5184,35716,808138,33766,107024,925739,745448,4997,441231,190336
38,100,14814,3175,11357,107,10713,54,449,5023,5500,5177,6187,5341,978240,137232,284610,160369,173565
39,100,14593,3202,11111,107,10517,54,449,720244,477601,750411,690413,415493,587405,869342,689683,458649,23749
