qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,100,9187,1608,7387,106,11115,54,6785,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,100,8061,1204,6697,105,11151,53,6721,413247,413071,706838,880592,249062,400194,942339,880462,987636,941776
2,100,9528,1258,8083,107,10675,54,6849,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,100,9840,953,8703,107,9629,54,6849,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,100,9626,1236,8194,107,11043,54,6849,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,100,9509,1255,8052,106,11333,55,6785,187470,67875,220473,460733,896005,27746,943689,669622,947299,515025
6,100,9583,1291,8108,109,11802,55,6977,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,100,9131,1067,7870,108,9533,55,6913,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,100,9062,1359,7510,106,11443,54,6785,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,100,11271,1542,9512,107,10984,55,6849,178811,177646,181997,181605,821938,807785,716433,358802,803100,866737
10,100,10258,1588,8447,106,11482,54,6785,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,100,10533,1634,8675,107,10927,54,6849,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,100,11078,1720,9120,105,10738,53,6721,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,100,10641,1676,8730,105,10948,53,6721,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,100,11017,1915,8853,108,11303,55,6913,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,100,13076,2121,10689,110,11176,56,7041,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,100,11651,2003,9395,107,10972,54,6849,796844,796217,798456,23370,426178,217222,511690,685252,563318,352400
17,100,11562,2021,9285,106,11483,54,6785,394163,882972,117181,803788,579505,865734,862392,862676,481816,601678
18,100,12369,2067,10036,105,11197,53,6721,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,100,11951,1975,9717,105,11059,53,6721,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,100,15775,2189,13288,107,10052,54,6849,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,100,17396,2464,14583,105,10654,53,6721,4490,4457,440896,105025,30046,214449,214475,234950,337194,566609
22,100,16587,2340,13898,107,10576,54,6849,31629,68360,426465,4957,558357,4784,483146,281276,633279,482791
23,100,22979,2502,20161,109,11206,55,6977,364790,686808,363583,452484,931784,452900,526788,219735,176512,290169
24,100,16664,2380,13965,107,11159,54,6849,4630,4554,804007,784790,279489,4623,242430,279275,188771,292781
25,100,17650,2255,15089,105,10439,53,6721,719083,87978,292469,814403,381318,514619,514508,292181,814205,465858
26,100,15711,2285,13123,107,11040,55,6849,426883,426756,10021,525190,910741,475114,514206,321539,9899,515955
27,100,12105,1849,9989,105,10538,53,6721,291918,955290,5963,955277,278725,363739,291938,176129,717127,176295
28,100,16216,2070,13857,107,10850,54,6849,725057,422521,678265,210568,905060,724824,678649,103965,515173,571604
29,100,12254,1764,10226,109,9530,55,6977,5453,555262,555280,556974,793183,792959,640564,678014,638091,715416
30,100,15228,2171,12765,106,10746,54,6785,534527,540700,825845,528396,172473,551649,826344,140175,599948,736536
31,100,11435,1852,9327,107,11179,54,6849,5559,4995,4962,5330,4870,401179,401031,703702,401938,749867
32,100,10380,1616,8527,104,10399,53,6657,5300,330332,69173,70085,497454,133114,787559,684695,502522,724669
33,100,10719,1644,8838,105,9818,53,6721,995079,994843,676916,994880,996246,676649,615911,39929,100515,646457
34,100,11947,1938,9759,110,11478,56,7041,149480,154168,540894,188171,364563,238380,845487,364021,707409,68317
35,100,10052,1660,8162,105,10971,53,6721,5841,5866,6707,845383,392768,76102,791495,641127,393434,15970
36,100,11686,1851,9566,106,11411,54,6785,5842,5867,6708,76101,72420,316027,707838,580180,72336,685009
37,100,11534,1760,9517,105,10022,53,6721,5184,35716,808138,33766,107024,925739,745448,4997,441231,190336
38,100,10220,1672,8322,107,10713,54,6849,5023,5500,5177,6187,5341,978240,137232,284610,160369,173565
39,100,10017,1658,8130,107,10517,54,6849,720244,477601,750411,690413,415493,587405,869342,689683,458649,23749
40,100,12670,1929,10478,107,10902,54,6849,8307,4773,4867,5214,5163,678598,474658,736313,632378,379937
41,100,10926,1733,8946,105,9722,53,6721,672663,950473,995354,543266,304642,807850,832734,924202,877285,779153
42,100,10675,1752,8684,107,10969,54,6849,353533,279441,312344,280744,356305,684403,106646,176619,112971,325817
43,100,11494,1870,9366,106,11367,54,6785,6302,5144,698353,698380,323021,695647,903061,700737,113009,178109
44,100,12301,1900,10139,108,10386,55,6913,754244,740214,477919,754136,379564,477668,669498,994393,746174,734963
45,100,10608,1568,8812,108,10575,55,6913,339510,341048,103857,175843,339933,780322,21980,826999,482497,827163
46,100,7925,765,6998,107,10242,54,6849,5880,657906,750523,997994,417152,998162,289779,478548,369606,535790
47,100,14152,1480,12440,103,11035,52,6593,676288,88744,575286,112116,395011,866052,138708,389019,5641,129673
48,100,16475,2271,13893,106,10229,54,6785,5213,104988,5750,122253,151333,151236,151506,287220,533961,68544
49,100,18586,2126,16157,105,9776,53,6721,5084,189094,79548,789068,168390,79696,789691,5138,79580,296791
50,100,16676,2341,14019,107,10656,54,6849,5653,5012,6627,412765,412388,29422,356987,575049,238731,758834
51,100,15173,2204,12680,107,10329,54,6849,6123,6192,571827,571831,863669,774030,86102,898134,56891,405826
52,100,16410,2363,13724,106,10816,54,6785,353210,352562,339633,781593,892861,781199,315815,517274,336721,541539
53,100,14013,2128,11606,107,10889,54,6849,351987,233832,339510,8612,323246,745960,745993,459172,101249,862947
54,100,11510,1656,9545,109,8989,55,6977,112794,113250,446585,411892,870851,863411,951184,906435,952895,603713
55,100,12630,1801,10560,105,8878,53,6721,228527,235088,38460,39257,683190,38490,39351,38397,583247,427728
56,100,11547,2049,9238,107,11262,54,6849,308262,79553,307829,279070,279393,419768,84208,312604,79528,105292
57,100,17396,2493,14574,107,11027,54,6849,966916,556125,5211,966411,469634,214355,225733,916109,562323,469532
58,100,13177,2099,10796,105,10458,53,6721,7237,626572,716064,536562,381601,172684,237441,949157,383164,462136
59,100,11102,1611,9234,109,9204,55,6977,6834,6316,6612,768167,672413,768289,672523,830147,673996,830132
60,100,11970,2158,9556,106,11172,54,6785,5278,421775,615794,411641,509171,864283,227388,336785,399367,311418
61,100,10326,1684,8410,105,9683,53,6721,8402,777151,8564,101592,47079,566368,103322,848323,816034,781951
62,100,10624,1450,8912,107,8571,54,6849,6560,838412,838648,838480,655178,825006,449099,890256,423938,654280
63,100,11301,1894,9162,105,10120,53,6721,6321,6413,5989,7094,439221,694080,590708,682414,989396,512491
64,100,10796,1627,8921,106,9165,54,6785,5635,476004,848657,617044,641183,546683,675309,397755,422008,901459
65,100,13886,2163,11435,107,10327,54,6849,992978,6405,782307,606380,52188,869634,576180,781821,569962,157002
66,100,12358,1757,10327,106,9356,54,6785,5390,5669,686362,7346,376423,414228,7758,53298,102274,997979
67,100,11504,1873,9368,106,9706,54,6785,37790,38036,213670,48146,335382,543283,538358,994346,38802,520776
68,100,12270,1992,10022,108,10155,55,6913,745206,475045,743583,814150,734709,477883,814152,528107,323185,741851
69,100,14514,2267,11937,108,11370,55,6913,956344,511904,229951,231693,778803,458570,322838,634609,239136,465284
70,100,11987,1743,9981,107,9104,54,6849,6124,6430,5912,768112,541740,6804,655162,768142,543487,768033
71,100,12318,1825,10235,107,9421,54,6849,5826,5885,754927,795689,795787,399103,5155,887421,217444,496198
72,100,14345,2279,11780,105,11326,53,6721,448667,57922,699496,906834,204614,268892,198752,277568,700028,483587
73,100,11704,1969,9460,105,10321,53,6721,6853,190271,405640,470408,86188,573991,986963,574996,88691,256424
74,100,15429,2347,12785,107,11188,54,6849,7364,353104,426975,437048,314481,426817,548275,724824,831381,55790
75,100,11736,2022,9454,106,10505,54,6785,6553,874762,937405,106343,823106,7616,481177,952748,335363,456105
76,100,11198,1824,9128,105,9986,53,6721,120210,218377,324333,194189,273005,203370,267648,284144,890258,821033
77,100,11332,1932,9146,105,10465,53,6721,908325,322937,581325,988313,907550,30911,32969,171405,468269,87779
78,100,12928,2139,10517,106,11148,54,6785,544739,924921,547884,464954,465039,496766,464949,151237,730884,92163
79,100,12286,1817,10193,108,9659,55,6913,6070,919617,138184,8069,5967,673324,8486,411888,118923,674756
80,100,10074,1814,8024,105,10409,53,6721,7451,591140,7188,900930,610680,918058,588905,420058,870629,66816
81,100,11980,2155,9570,106,11182,54,6785,833230,840245,986179,223910,800817,603552,888353,834026,365342,11237
82,100,12076,2056,9751,106,11127,54,6785,177759,31395,280953,127248,806288,522375,679265,210676,154577,196602
83,100,12286,1978,10046,105,10003,53,6721,296270,6005,714059,847922,414280,74493,40878,6778,566213,905839
84,100,10994,1963,8774,105,11056,53,6721,8894,227733,32475,216176,280838,711937,299339,351328,215822,280264
85,100,10364,1454,8666,105,8623,53,6721,754930,419010,802125,797123,479889,479823,479638,208081,409350,480026
86,100,11103,1635,9213,105,9054,53,6721,807714,642062,73061,910669,900912,424719,253067,808513,526166,114829
87,100,11664,1536,9869,105,8459,53,6721,7722,526037,297056,39337,643125,282502,521335,417700,642572,820955
88,100,11834,1693,9878,106,9183,54,6785,7098,39462,38464,6901,38545,38522,38386,8899,7065,38240
89,100,12036,1880,9900,107,10081,54,6849,7627,754531,811323,7118,823542,825274,187888,386717,521135,825058
90,100,11414,1614,9541,109,9331,55,6977,9258,9417,84465,821939,815480,815326,85967,815425,85193,815524
91,100,11219,1738,9233,105,9367,53,6721,439826,648328,57569,707795,187329,802478,876763,407337,783564,910423
92,100,12243,2027,9937,107,10628,54,6849,8356,7797,511325,806838,792323,349404,183768,956233,942656,863588
93,100,11452,1915,9289,107,10337,54,6849,991587,437379,338664,742678,742597,742556,311426,826938,963357,196106
94,100,11553,1686,9620,107,8984,54,6849,8419,37970,986478,962974,857588,985312,616609,856493,875276,478217
95,100,12596,2049,10281,106,10439,54,6785,849118,664898,691386,332322,298797,916928,785689,332566,625082,312589
96,100,12247,2026,9959,104,10867,53,6657,436416,309650,203122,267400,656723,519686,354583,307804,518456,24937
97,100,10204,1808,8146,107,10390,55,6849,8825,807683,84825,84157,57297,381144,260607,397268,202377,266655
98,100,11879,1788,9831,110,9734,56,7041,112511,911693,768297,896881,37844,37993,39076,793629,280557,207803
99,100,11934,1964,9706,105,10148,53,6721,8082,440321,753623,8782,368453,637319,753679,155524,369366,305493
100,100,11646,1992,9398,105,10502,53,6721,223309,215818,21005,20974,282663,505511,216313,389863,422050,295600
101,100,10822,1726,8854,108,9883,55,6913,5155,475714,9057,474709,410967,475613,411704,7262,5634,7736
102,100,16651,2341,13988,105,10765,53,6721,365106,417922,752491,67539,832128,512012,411506,230201,746945,611807
103,100,11124,1839,9037,107,10014,54,6849,642707,614360,851333,641279,122290,141685,869694,869927,566430,933239
104,100,11034,1880,8909,105,9923,53,6721,579263,56621,378772,433603,852805,52434,729303,442929,547337,378181
105,100,10985,1847,8895,105,9993,53,6721,51078,513558,188640,688022,304448,942858,55175,729640,901495,329585
106,100,11734,1858,9624,110,10161,56,7041,908531,116079,112707,987365,845979,215969,79463,427847,556067,715617
107,100,11447,1698,9506,108,9298,55,6913,52534,600518,8265,904970,847814,541717,116316,115625,536117,814425
108,100,12568,1694,10614,109,8827,55,6977,39450,38552,512718,39420,425578,38348,38544,512415,424420,38446
109,100,11795,1914,9620,106,10098,54,6785,9090,583428,700826,118740,556525,56783,661238,534160,650728,78573
110,100,13627,1962,11387,106,9911,54,6785,207205,963129,814168,920261,615958,709915,971556,822348,535037,623576
111,100,12130,2115,9751,106,11282,54,6785,470540,707760,474579,470424,730156,741600,805586,101510,99614,254329
112,100,10256,1477,8543,105,8556,53,6721,8601,52018,768763,413638,643701,835702,829592,99401,769089,259924
113,100,12777,2008,10506,106,10614,54,6785,414105,384488,736229,875866,32755,248419,735948,32618,32069,332146
114,100,12497,1765,10463,106,9293,54,6785,553796,52639,412275,52731,388037,65808,421783,52211,439059,413656
115,100,12047,2066,9672,107,11340,54,6849,706821,370872,9236,678197,915850,946259,951029,472205,517794,474285
116,100,11035,1621,9159,111,9350,56,7105,38575,477514,477193,666864,37980,540200,38114,539693,39202,218485
117,100,15314,2413,12598,105,11393,53,6721,696572,165045,8874,965307,150517,697607,164963,166667,17615,118601
118,100,16461,2391,13732,108,11065,55,6913,519634,679323,250015,213452,679140,122449,122433,980853,531692,532445
119,100,16831,2162,14341,110,8984,56,7041,8931,918586,260473,888936,425577,808949,426334,539903,910555,512857
120,100,20256,2689,17255,107,10983,54,6849,881091,148093,494731,139144,245891,685691,8639,161334,166826,545686
121,100,15943,2353,13243,105,10224,53,6721,782263,576208,341866,65052,801400,967121,1985,350303,533622,985621
122,100,19383,2371,16720,105,10522,53,6721,8307,8409,5214,4773,474658,474697,4867,854607,352379,352902
123,100,16424,2330,13778,107,9789,54,6849,643195,655877,518175,770352,42259,42255,8108,931153,8497,616134
124,100,16150,2408,13434,107,10198,54,6849,103994,89140,311515,91969,469622,482505,280016,43944,768536,298447
125,100,16711,2442,13945,107,10610,54,6849,704656,23523,861377,363444,337756,704129,365738,337027,363476,321805
126,100,16496,2465,13714,105,11330,53,6721,182672,173110,488061,262864,789067,380421,525156,391811,431196,420271
127,100,11974,2101,9617,107,10732,54,6849,105230,376106,842070,513144,105804,376389,837739,513472,612886,729682
128,100,12143,2090,9807,107,10698,54,6849,79896,188773,130436,110501,188798,126207,678271,279402,232699,341330
129,100,12980,1953,10743,104,9412,53,6657,769300,613690,288748,898027,8469,258501,57849,902553,870524,427298
130,100,12096,2129,9706,106,11426,54,6785,983491,584224,245332,139770,976760,20849,515221,87631,325241,88674
131,100,12066,2034,9776,109,10583,55,6977,913076,318210,320461,290376,321274,914293,651721,789967,301771,319674
132,100,12079,2140,9686,107,11483,54,6849,9218,168935,525673,595358,17169,595532,383903,140403,880323,542752
133,100,10298,1993,8077,102,11310,52,6529,680650,120339,123866,34306,34307,690145,648967,300130,937314,680648
134,100,15577,2262,13013,109,9731,55,6977,134221,716879,713854,989765,648730,673214,6648,667549,247071,610011
135,100,11963,2085,9615,106,10994,54,6785,76517,925968,373148,822908,927903,468233,296320,297365,296733,77605
136,100,14132,2177,11657,105,10637,53,6721,344680,719246,437150,719156,516540,529246,511522,498095,365821,694054
137,100,13522,2284,10955,105,11175,53,6721,488577,455363,496085,644274,140019,66519,171299,501998,404841,235824
138,100,11647,1917,9476,105,10240,53,6721,9036,8812,138980,129963,171064,240491,362563,120109,611881,401243
139,100,14330,2215,11823,106,10773,54,6785,524261,58893,813949,780464,193257,272073,152581,494414,59148,350759
140,100,10660,1699,8750,105,11405,53,6721,153612,978117,539012,967054,154106,967389,978210,781138,574823,73033
141,100,9770,1069,8491,108,9258,55,6913,633090,633749,135686,541996,199728,278544,136874,972752,982295,280832
142,100,13688,2342,11068,106,11279,54,6785,519620,870286,319064,15567,619624,319835,465269,200957,265235,320828
143,100,11338,1786,9303,107,9674,54,6849,176839,201277,265555,582430,320224,501313,291380,500488,51236,316162
144,100,11193,1844,9092,104,9956,53,6657,652311,995681,500368,787124,370172,735568,665726,798775,504253,800660
145,100,11905,1942,9713,106,9965,54,6785,334524,766750,953965,652357,25321,290244,504743,341145,894936,128986
146,100,12040,2002,9776,103,10640,52,6593,9346,9227,95554,641737,95379,50861,878513,506495,887866,327722
147,100,15177,2255,12606,107,10668,54,6849,878059,668414,913130,515741,842512,711700,677800,546632,516085,943305
148,100,11522,1888,9385,105,10297,53,6721,457569,928736,113668,460190,508579,98120,782871,256702,929735,555134
149,100,12945,2080,10586,110,10712,56,7041,9481,9180,582610,413350,260780,581837,38526,158989,89064,150491
150,100,11629,2093,9284,106,11601,54,6785,440119,351572,726497,82182,726294,695032,179081,440611,369355,670663
151,100,12336,1591,10479,107,8484,54,6849,429941,675797,762862,539442,675192,886491,676784,674471,429497,827138
152,100,11923,1861,9812,107,9770,54,6849,648210,647906,779082,914069,647065,534666,604098,252269,713887,412577
153,100,13654,2124,11258,106,10443,54,6785,859750,343206,346474,652203,806975,879879,560845,144584,522530,76979
154,100,11713,2044,9409,107,11057,54,6849,57520,148982,185664,496360,959163,492552,493254,820394,138946,320347
155,100,14998,2688,12019,107,11812,54,6849,9298,9512,8718,781178,158276,158188,485535,822657,158234,549422
156,100,15710,2393,13008,107,11041,54,6849,487346,617990,485029,390946,397108,482986,615205,257560,615031,400955
157,100,16973,2532,14117,105,11708,53,6721,20892,572919,730552,20963,20863,128913,823575,509911,284134,488010
158,100,17808,2590,14878,107,11672,54,6849,482561,535158,688232,688,165418,469889,214886,616115,429712,573344
159,100,14564,2326,11942,105,11268,53,6721,514333,396402,75954,741661,690373,392483,841484,73681,584265,976279
160,100,15185,2335,12549,107,11340,55,6849,834181,228440,685960,833334,845807,67744,398352,635122,569836,948041
161,100,12378,2148,9962,108,11205,55,6913,695379,151231,895337,635264,676254,481870,284791,480360,779178,84539
162,100,13801,2275,11239,106,11666,54,6785,468128,182366,490102,679034,917518,113031,467690,287966,376226,376004
163,100,12008,2082,9661,105,11128,53,6721,609734,234367,603373,367097,366857,603401,544536,392887,959092,725890
164,100,11741,1970,9495,107,10638,54,6849,528519,237786,772193,302990,929263,528439,458246,822077,365308,833895
165,100,12427,1965,10199,109,10471,55,6977,681938,886174,522106,905528,993999,36645,911256,538689,906178,681841
166,100,13316,2225,10816,107,10962,54,6849,734397,908654,204246,268524,165199,908742,107773,860598,293083,679958
167,100,15582,2267,13004,106,10661,54,6785,23724,530237,426541,737211,392029,245995,548516,529906,528815,469824
168,100,12060,1962,9831,107,10409,54,6849,762024,762136,212429,998002,762748,762156,219599,645380,837441,923986
169,100,11530,1936,9333,106,10507,54,6785,566915,910933,566958,88190,567110,616341,239179,283734,404139,472403
170,100,11055,1915,8886,107,10750,54,6849,670975,842018,664297,535797,831273,832706,681753,797773,83761,196049
171,100,12294,2111,9928,106,10950,54,6785,600558,843299,20536,842359,470543,619082,843868,387543,404768,635283
172,100,13500,2277,10942,107,11570,54,6849,529003,371825,208287,231195,258074,368052,872496,441293,232236,104909
173,100,16932,2413,14206,106,11136,54,6785,428155,748530,748927,422243,819561,819826,454897,295224,211511,906217
174,100,17942,2391,15210,109,10491,56,6977,833112,443575,443608,851311,950911,837292,444889,837395,950202,851522
175,100,20639,2342,17980,109,10865,55,6977,377175,22124,151883,152292,69986,822694,69056,431798,226458,949242
176,100,11492,1808,9431,106,10762,54,6785,820221,496033,224792,224902,932229,225426,225251,869316,543644,932534
177,100,10382,1748,8398,107,11044,54,6849,620366,741023,620702,845770,795777,217914,804110,408090,391453,628248
178,100,11824,1954,9610,106,11184,54,6785,583981,583826,731164,21085,228797,25613,548761,184470,279390,175963
179,100,12228,2022,9922,107,11574,54,6849,803291,800931,21890,68600,965132,689911,712737,165995,706013,52510
180,100,11855,1856,9735,106,10045,54,6785,854496,498256,461174,35442,671651,770029,13423,663041,995881,83230
181,100,12792,2106,10416,107,11423,54,6849,431712,782155,68985,30852,431014,711092,680076,710543,534018,502226
182,100,13086,2065,10747,107,10680,54,6849,257067,17429,702825,433152,533829,209255,78588,302256,821526,493810
183,100,12271,2048,9965,107,11021,54,6849,562172,286625,204181,268459,773315,249573,342788,231174,229571,708104
184,100,15839,2222,13300,105,10427,53,6721,981160,542985,618141,13598,876950,337995,1124,240780,377607,594821
185,100,17201,2139,14717,107,8884,54,6849,558528,767958,423669,558443,38983,38025,423875,37772,37770,38960
186,100,20140,2301,17516,107,9938,54,6849,582253,743254,428262,854015,953116,906308,428097,783310,910824,816059
187,100,12820,2238,10309,108,11390,55,6913,631251,396533,143354,682001,426174,764119,60259,517693,811725,284762
188,100,18147,2141,15718,105,10244,53,6721,305247,698507,698652,689038,300705,217817,410830,859781,947304,606836
189,100,17104,2312,14440,106,10071,54,6785,248392,211517,248477,618823,146177,211589,32117,212011,249309,862569
190,100,18010,2311,15368,107,9250,54,6849,634404,406025,975372,15906,226829,583526,199728,278544,974869,898977
191,100,17510,2522,14658,107,11094,54,6849,374554,238307,142982,975784,519356,158907,597831,680227,992478,228441
192,100,17454,2546,14589,105,11879,53,6721,565433,364149,821073,220823,590669,821077,431352,175470,180482,438788
193,100,13233,2175,10788,107,10725,54,6849,207969,831193,332268,334419,761200,374022,141642,772315,194917,273733
194,100,17870,2471,15041,106,11002,54,6785,33867,525288,841031,31028,393359,97061,526083,974394,194757,273573
195,100,13841,2250,11309,107,11092,54,6849,792136,415766,645632,645427,490719,458623,162423,792672,404231,919940
196,100,12706,2127,10309,105,11186,53,6721,169281,983007,193669,272485,320491,253601,248209,933033,33815,825597
197,100,13072,2149,10659,106,10882,54,6785,7491,844554,156627,532848,515010,981510,206386,270664,515359,513537
198,100,11616,1704,9663,109,9123,55,6977,834062,648444,833609,610175,132792,755769,755369,566905,836243,830489
