qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,100,9698,1484,8028,106,11115,54,448,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,100,7844,904,6767,105,11151,53,384,413247,413071,706838,880592,249062,400194,942339,880462,987636,941776
2,100,9594,1217,8195,107,10675,54,512,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,100,9514,1133,8209,107,9629,54,512,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,100,10125,1335,8604,107,11043,54,512,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,100,10204,1493,8520,106,11333,55,448,187470,67875,220473,460733,896005,27746,943689,669622,947299,515025
6,100,13742,2391,11119,109,11802,55,640,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,100,13441,2257,10946,108,9533,55,576,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,100,15073,2821,12003,106,11443,54,448,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,100,19379,2868,16264,107,10984,55,512,178811,177646,181997,181605,821938,807785,716433,358802,803100,866737
10,100,16070,3213,12571,106,11482,54,448,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,100,18950,3308,15346,107,10927,54,512,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,100,22228,3563,18376,105,10738,53,384,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,100,16852,3677,12872,105,10948,53,384,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,100,16422,3676,12449,108,11303,55,576,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,100,15374,3364,11725,110,11176,56,704,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,100,16014,3588,12146,107,10972,54,512,796844,796217,798456,23370,426178,217222,511690,685252,563318,352400
17,100,15577,2909,12409,106,11483,54,448,394163,882972,117181,803788,579505,865734,862392,862676,481816,601678
18,100,12555,2700,9610,105,11197,53,384,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,100,14493,3255,10968,105,11059,53,384,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,100,13347,2986,10099,107,10052,54,512,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,100,14581,2805,11536,105,10654,53,384,4490,4457,440896,105025,30046,214449,214475,234950,337194,566609
22,100,12478,2831,9386,107,10576,54,512,31629,68360,426465,4957,558357,4784,483146,281276,633279,482791
23,100,12786,3053,9490,109,11206,55,640,364790,686808,363583,452484,931784,452900,526788,219735,176512,290169
24,100,12209,2769,9185,107,11159,54,512,4630,4554,804007,784790,279489,4623,242430,279275,188771,292781
25,100,13569,3102,10205,105,10439,53,384,719083,87978,292469,814403,381318,514619,514508,292181,814205,465858
26,100,12479,2895,9328,107,11040,55,512,426883,426756,10021,525190,910741,475114,514206,321539,9899,515955
27,100,13237,2999,9975,105,10538,53,384,291918,955290,5963,955277,278725,363739,291938,176129,717127,176295
28,100,13573,3062,10234,107,10850,54,512,725057,422521,678265,210568,905060,724824,678649,103965,515173,571604
29,100,12760,2860,9610,109,9530,55,640,5453,555262,555280,556974,793183,792959,640564,678014,638091,715416
30,100,16164,3501,12375,106,10746,54,448,534527,540700,825845,528396,172473,551649,826344,140175,599948,736536
31,100,14712,3301,11132,107,11179,54,512,5559,4995,4962,5330,4870,401179,401031,703702,401938,749867
32,100,12376,2838,9284,104,10399,53,320,5300,330332,69173,70085,497454,133114,787559,684695,502522,724669
33,100,13155,2989,9896,105,9818,53,384,995079,994843,676916,994880,996246,676649,615911,39929,100515,646457
34,100,18183,3796,14076,110,11478,56,704,149480,154168,540894,188171,364563,238380,845487,364021,707409,68317
