qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,100,8610,675,7715,106,11162,54,65,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,100,7045,258,6601,106,11239,54,65,413247,413071,706838,880592,249062,400194,942339,987636,941776,586780
2,100,9208,436,8573,107,10843,54,65,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,100,8404,311,7911,107,9483,54,65,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,100,8805,447,8163,107,10800,54,65,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,100,13457,886,12338,105,11394,53,65,187470,67875,220473,460733,896005,27746,943689,669622,947299,682308
6,100,11582,857,10488,110,12069,56,65,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,100,13959,977,12718,108,9577,55,65,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,100,10980,911,9823,106,11524,54,65,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,100,8830,703,7909,106,10995,54,65,178811,181997,181605,821938,807785,716433,358802,803100,153488,279356
10,100,10528,925,9367,106,11641,54,65,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,100,10491,979,9266,108,11013,55,65,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,100,14223,1501,12429,109,11459,56,65,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,100,12880,1447,11110,105,11068,53,65,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,100,13837,1633,11890,106,11241,54,65,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,100,16947,1873,14713,110,11232,56,65,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,100,17793,1709,15744,107,11017,54,65,796844,796217,798456,23370,426178,217222,511690,563318,352400,390404
17,100,19736,1767,17647,106,11213,54,65,394163,882972,803788,579505,865734,862392,862676,601678,111360,227468
18,100,13488,1503,11686,104,11009,53,65,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,100,14660,1624,12697,108,11479,55,65,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,100,15740,1721,13696,109,10322,55,65,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,100,12151,1314,10567,107,10852,54,65,4490,4457,440896,105025,30046,214449,214475,234950,337194,554601
22,100,10225,1146,8837,107,10405,54,65,31629,68360,426465,4957,558357,4784,483146,633279,482791,536469
23,100,14320,1653,12355,109,11185,55,65,364790,686808,363583,452484,931784,452900,526788,219735,176512,290169
24,100,15308,1682,13312,107,11290,54,65,4630,4554,804007,784790,279489,4623,242430,279275,188771,292781
25,100,15464,1685,13450,105,10628,53,65,719083,87978,292469,814403,381318,514619,514508,292181,465858,422089
26,100,11882,1271,10333,106,11146,54,65,426883,426756,10021,525190,910741,475114,514206,321539,9899,515955
27,100,11153,1225,9674,105,10625,53,65,291918,955290,5963,955277,278725,363739,291938,176129,717127,176295
28,100,10643,1223,9160,108,11033,55,65,725057,422521,678265,210568,905060,724824,678649,103965,515173,571604
29,100,11171,1159,9749,109,9537,55,65,5453,555262,555280,556974,793183,792959,640564,678014,638091,715416
30,100,12628,1349,11005,105,10610,53,65,534527,540700,825845,528396,172473,551649,826344,140175,599948,736536
31,100,12531,1347,10894,108,11492,55,65,5559,4995,4962,5330,4870,401179,401031,703702,401938,749867
32,100,11131,1192,9688,104,10494,53,65,5300,330332,69173,70085,497454,133114,787559,684695,502522,724669
33,100,11298,1240,9798,105,10100,53,65,995079,994843,676916,994880,996246,676649,615911,39929,100515,646457
34,100,9793,1140,8406,107,11189,54,65,149480,154168,540894,188171,364563,238380,845487,364021,707409,68317
35,100,11282,1345,9672,105,11079,53,65,5841,5866,6707,845383,392768,76102,791495,641127,393434,15970
36,100,10391,1124,9012,108,11836,55,65,5842,5867,6708,76101,72420,316027,707838,72336,685009,920719
37,100,11833,1299,10274,106,10139,54,65,5184,35716,808138,33766,107024,925739,745448,4997,441231,190336
38,100,15350,1679,13347,107,10756,54,65,5023,5500,5177,6187,5341,978240,137232,284610,160369,173565
39,100,10473,1082,9133,107,10490,54,65,720244,477601,750411,690413,415493,587405,869342,689683,458649,23749
40,100,10977,1256,9454,107,10810,54,65,8307,4773,4867,5214,5163,678598,474658,736313,632378,379937
41,100,11166,1175,9734,106,9782,54,65,672663,950473,995354,543266,304642,807850,924202,877285,707109,778715
42,100,11070,1199,9605,105,10920,53,65,353533,279441,312344,280744,356305,684403,106646,176619,112971,325817
43,100,12879,1402,11176,106,11316,54,65,6302,5144,698353,698380,323021,695647,903061,700737,113009,178109
44,100,11732,1195,10266,108,10150,55,65,754244,740214,477919,754136,379564,477668,669498,994393,746174,734963
45,100,11061,1158,9640,108,10655,55,65,339510,341048,103857,175843,339933,780322,21980,826999,482497,827163
46,100,13247,1432,11517,107,10323,54,65,5880,657906,750523,997994,417152,998162,289779,478548,369606,535790
47,100,11013,1192,9565,104,11039,53,65,676288,88744,575286,112116,395011,866052,138708,389019,5641,129673
48,100,15870,1700,13833,106,10308,54,65,5213,104988,5750,122253,151333,151236,151506,287220,533961,68544
49,100,12589,1296,11010,106,10021,54,65,5084,189094,79548,789068,168390,79696,789691,5138,79580,296791
50,100,13397,1399,11695,108,10724,55,65,5653,5012,6627,412765,412388,29422,356987,575049,238731,758834
51,100,10126,1046,8842,109,10651,55,65,6123,6192,571827,571831,863669,774030,86102,898134,56891,405826
52,100,11067,1155,9618,108,11224,55,65,353210,352562,339633,781593,892861,781199,315815,517274,336721,541539
53,100,10459,1060,9151,108,11134,55,65,351987,233832,339510,8612,323246,745960,745993,459172,101249,862947
54,100,10322,1003,9082,107,8914,54,65,112794,113250,446585,411892,870851,863411,906435,952895,603713,667019
55,100,16037,1575,14129,105,8816,53,65,228527,235088,38460,39257,683190,38490,39351,38397,583247,427728
56,100,12163,1342,10538,108,11292,55,65,308262,79553,307829,279070,279393,419768,84208,312604,79528,540901
57,100,14119,1557,12239,107,11069,54,65,966916,556125,5211,966411,469634,214355,225733,916109,562323,469532
58,100,11215,1219,9728,105,10698,53,65,7237,626572,716064,536562,381601,172684,237441,949157,383164,462136
59,100,10174,1030,8902,109,9475,55,65,6834,6316,6612,768167,672413,768289,672523,830147,673996,830132
60,100,14186,1580,12292,108,11461,55,65,5278,421775,615794,411641,509171,864283,227388,336785,311418,780092
61,100,10250,1117,8880,107,9968,54,65,8402,777151,8564,101592,47079,566368,103322,848323,816034,781951
62,100,11075,976,9827,107,8539,54,65,6560,838412,838648,838480,655178,825006,449099,890256,423938,654280
63,100,11384,1171,9947,106,10199,54,65,6321,6413,5989,7094,439221,694080,590708,682414,989396,512491
64,100,11118,1109,9759,106,9160,54,65,5635,476004,848657,617044,641183,546683,675309,397755,422008,901459
65,100,11534,1196,10074,109,10620,55,65,992978,782307,606380,52188,869634,576180,781821,569962,157002,861875
66,100,11314,1205,9843,107,9454,54,65,5390,5669,686362,7346,376423,414228,7758,53298,102274,997979
