qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,100,7778,595,7000,106,11185,54,448,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,100,6937,325,6441,106,11265,54,448,413247,413071,706838,880592,249062,400194,942339,987636,941776,586780
2,100,7772,379,7205,107,10843,54,512,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,100,11523,580,10733,107,9483,54,512,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,100,8339,430,7729,107,10800,54,512,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,100,8600,494,7923,105,11394,53,384,187470,67875,220473,460733,896005,27746,943689,669622,947299,682308
6,100,9060,628,8237,109,11970,55,640,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,100,10297,648,9444,108,9576,55,576,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,100,13359,1083,12029,106,11498,54,448,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,100,11916,1078,10597,106,10974,54,448,178811,181997,181605,821938,807785,716433,358802,803100,153488,279356
10,100,10456,945,9276,109,11944,56,640,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,100,10429,959,9234,107,10931,55,512,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,100,10563,1009,9300,107,11241,54,512,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,100,10502,1126,9133,105,11068,53,384,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,100,9851,1214,8396,106,11253,54,448,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,100,11522,1341,9914,110,11222,56,704,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,100,13878,1568,12009,107,11053,54,512,796844,796217,798456,23370,426178,217222,511690,563318,352400,390404
17,100,10320,1150,8925,106,11224,54,448,394163,882972,803788,579505,865734,862392,862676,601678,111360,227468
18,100,12036,1324,10447,104,11027,53,320,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,100,10471,1227,8996,107,11397,54,512,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,100,9727,1144,8362,108,10263,55,576,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,100,11233,1256,9713,107,10852,54,512,4490,4457,440896,105025,30046,214449,214475,234950,337194,554601
22,100,10945,1156,9511,108,10519,55,576,31629,68360,426465,4957,558357,4784,483146,633279,482791,536469
23,100,11546,1348,9939,109,11185,55,640,364790,686808,363583,452484,931784,452900,526788,219735,176512,290169
24,100,12783,1528,10970,107,11290,54,512,4630,4554,804007,784790,279489,4623,242430,279275,188771,292781
25,100,9535,1114,8186,105,10628,53,384,719083,87978,292469,814403,381318,514619,514508,292181,465858,422089
26,100,10960,1224,9483,106,11147,54,448,426883,426756,10021,525190,910741,475114,514206,321539,9899,515955
27,100,10509,1138,9130,105,10620,53,384,291918,955290,5963,955277,278725,363739,291938,176129,717127,176295
28,100,11752,1311,10190,108,11027,55,576,725057,422521,678265,210568,905060,724824,678649,103965,515173,571604
29,100,10976,1213,9505,109,9507,55,640,5453,555262,555280,556974,793183,792959,640564,678014,638091,715416
30,100,10950,1251,9449,105,10612,53,384,534527,540700,825845,528396,172473,551649,826344,140175,599948,736536
31,100,11043,1423,9364,108,11492,55,576,5559,4995,4962,5330,4870,401179,401031,703702,401938,749867
32,100,9776,1102,8438,104,10495,53,320,5300,330332,69173,70085,497454,133114,787559,684695,502522,724669
33,100,12200,1369,10557,108,10475,55,576,995079,994843,676916,994880,996246,676649,615911,39929,100515,646457
34,100,10755,1281,9215,108,11230,55,576,149480,154168,540894,188171,364563,238380,845487,364021,707409,68317
35,100,16186,1798,14062,106,11165,54,448,5841,5866,6707,845383,392768,76102,791495,641127,393434,15970
36,100,12945,1519,11136,105,11442,53,384,5842,5867,6708,76101,72420,316027,707838,72336,685009,920719
37,100,11554,1307,9969,106,10139,54,448,5184,35716,808138,33766,107024,925739,745448,4997,441231,190336
38,100,11293,1290,9733,107,10756,54,512,5023,5500,5177,6187,5341,978240,137232,284610,160369,173565
39,100,14986,1689,12979,107,10504,54,512,720244,477601,750411,690413,415493,587405,869342,689683,458649,23749
40,100,14190,1634,12237,107,10810,54,512,8307,4773,4867,5214,5163,678598,474658,736313,632378,379937
41,100,15441,1656,13459,105,9660,53,384,672663,950473,995354,543266,807850,924202,877285,707109,778715,825284
42,100,16549,1788,14412,105,10920,53,384,353533,279441,312344,280744,356305,684403,106646,176619,112971,325817
