qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,200,11730,1053,10319,210,21094,54,0,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,200,11324,804,10198,210,21018,54,0,413247,413071,706838,880592,249062,400194,942339,987636,941776,586780
2,200,11975,867,10787,213,20185,54,0,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,200,11069,652,10120,213,17882,54,0,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,200,12620,1070,11181,213,20712,55,0,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,200,12207,1644,10205,208,21680,54,0,187470,67875,220473,460733,896005,27746,943689,669622,947299,515025
6,200,10876,867,9664,209,21851,53,0,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,200,14640,1449,12791,213,17997,54,0,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,200,11539,1162,10051,211,21646,54,0,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,200,11287,1039,9911,211,20786,54,0,178811,177646,181997,181605,821938,807785,716433,358802,803100,866737
10,200,12443,1472,10568,210,22190,54,0,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,200,18956,2652,15814,209,20545,53,0,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,200,20796,3028,17222,213,21186,54,0,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,200,19941,2918,16494,210,21233,54,0,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,200,12966,1822,10731,209,20968,53,0,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,200,15102,2189,12477,217,20807,55,0,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,200,17420,2685,14242,213,21014,54,0,796844,796217,798456,23370,426178,217222,511690,685252,563318,352400
17,200,21566,3218,17793,212,21468,54,0,394163,882972,117181,803788,579505,865734,862392,862676,481816,601678
18,200,23613,3080,19988,208,20884,53,0,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,200,23753,2933,20298,212,21120,54,0,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,200,21418,3017,17849,213,19038,54,0,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,200,20992,3020,17411,209,19949,53,0,4490,4457,440896,105025,30046,214449,214475,234950,337194,566609
