qid,L,total_us,cpu_us,io_us,n_ios,n_cmps,n_hops,n_exact_nav_reads,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,150,9198,1593,7347,159,16276,41,0,932085,934876,561813,708177,706771,695756,435345,701258,455537,872728
1,150,9828,1622,7957,159,16563,41,0,413247,413071,706838,880592,249062,400194,942339,880462,987636,941776
2,150,10534,1725,8560,163,15761,42,0,669835,408764,408462,408855,551661,861882,406273,406324,551743,861530
3,150,10369,1710,8420,164,14297,43,0,970797,125539,48044,191115,889039,546470,123985,546496,207768,831905
4,150,10618,1855,8518,163,16294,42,0,340871,748397,748193,175336,716433,112586,107281,416604,371420,368246
5,150,8518,1350,6942,158,16442,41,0,187470,67875,220473,460733,896005,27746,943689,669622,947299,515025
6,150,8425,1337,6864,159,16731,41,0,402219,982379,652078,880346,59540,511412,595673,703786,982409,596714
7,150,9264,1519,7513,163,14045,42,0,906750,618842,807599,569178,107468,207868,476215,762217,762237,5447
8,150,9759,1972,7541,162,17099,42,0,376328,325865,323160,376277,323464,724549,176970,695175,803977,181435
9,150,9128,1935,6946,160,16063,41,0,178811,177646,181997,181605,821938,807785,716433,358802,803100,866737
10,150,9773,2012,7500,159,16946,41,0,316210,320547,992617,297239,753170,806980,432201,988918,807092,180642
11,150,11375,2616,8476,162,16175,42,0,4697,762035,824256,672308,689860,824098,609725,609704,910776,923610
12,150,10922,2596,8062,160,15993,42,0,390776,563997,923810,931688,564008,191546,13183,564079,564042,224306
13,150,10582,2687,7627,160,16326,41,0,522078,134090,596084,795468,565610,988161,868867,522080,861121,990875
14,150,10409,2642,7493,159,16247,41,0,454220,601274,368880,563664,482225,562464,562875,433429,409216,409300
15,150,13879,3327,10258,165,16355,42,0,970094,409722,969865,918194,332655,106809,43943,806446,502068,234721
16,150,12149,3509,8355,162,16231,42,0,796844,796217,798456,23370,426178,217222,511690,685252,563318,352400
17,150,12153,3637,8208,162,16892,42,0,394163,882972,117181,803788,579505,865734,862392,862676,481816,601678
18,150,12488,3990,8183,159,16306,41,0,247250,434884,25262,170737,466326,635668,701657,897908,122907,126762
19,150,12494,4102,8091,159,16286,41,0,222535,193620,272436,258797,394974,921304,868610,905999,226575,629123
20,150,12767,3953,8509,163,14923,42,0,587404,666481,929092,82246,601801,541161,860624,928637,481713,448233
21,150,12811,3960,8532,159,15532,41,0,4490,4457,440896,105025,30046,214449,214475,234950,337194,566609
22,150,12996,4025,8652,163,15402,42,0,31629,68360,426465,4957,558357,4784,483146,281276,633279,482791
23,150,12819,4135,8371,161,16049,41,0,364790,686808,363583,452484,931784,452900,526788,219735,176512,290169
24,150,13520,4251,8959,162,16518,42,0,4630,4554,804007,784790,279489,4623,242430,279275,188771,292781
