variant,recall_at_10,mean_latency_us,mean_page_reads,mean_comparisons,mean_hops,mean_exact_nav_reads,mean_bytes_touched
pq_l100_w2,0.9976,14361.695,106.363,10631.972,53.868,0.0,435662.848
exact_l100_w2,0.9976,13378.261,106.363,10631.972,53.868,6808.232,3921477.632
early1_l100_w2,0.9976,14731.232,106.363,10631.972,53.868,65.0,468942.848
early2_l100_w2,0.9976,14809.61,106.363,10631.972,53.868,193.0,534478.848
early4_l100_w2,0.9976,14147.462,106.363,10631.972,53.868,449.0,665550.848
early8_l100_w2,0.9976,14019.518,106.363,10631.972,53.868,961.0,927694.848
late4_l100_w2,0.9976,14822.298,106.363,10631.972,53.868,471.232,676933.632
pq_l100_w4,0.9976,10382.724,111.473,11224.658,28.912,0.0,456593.408
pq_l150_w4,0.9986,14566.171,160.934,15673.881,41.49,0.0,659185.664
pq_l200_w4,0.9993,19360.761,210.568,20030.828,53.631,0.0,862486.528
