variant,recall_at_10,mean_latency_us,mean_page_reads,mean_comparisons,mean_hops,mean_exact_nav_reads,mean_bytes_touched
pq16_pq_l100_w2,0.9646000000000001,12448.313,106.798,10734.167,54.126,0.0,437444.608
pq16_exact_l100_w2,0.9976,12853.824,106.363,10631.972,53.868,6808.232,3921477.632
pq16_early1_l100_w2,0.9646000000000001,12625.031,106.644,10715.669,54.038,65.0,470093.824
pq16_early2_l100_w2,0.9644000000000001,12055.939,106.583,10708.205,54.002,193.0,535379.968
pq16_early4_l100_w2,0.9700000000000001,12512.381,106.506,10699.487,53.964,449.0,666136.576
pq16_early8_l100_w2,0.9858000000000001,12168.18,106.49,10689.858,53.952,961.0,928215.04
pq16_late4_l100_w2,0.9647,14020.39,106.813,10734.688,54.132,500.032,693522.432
pq16_pq_l100_w4,0.9651000000000002,8367.795,112.084,11345.314,29.176,0.0,459096.064
pq16_pq_l150_w4,0.9843999999999999,12111.688,161.39,15802.576,41.636,0.0,661053.44
pq16_pq_l200_w4,0.9914000000000001,15896.892,211.046,20186.268,53.824,0.0,864444.416
