label,code_bytes,L,recall_at_10,qps,qps_min,qps_max,p50_us,p50_us_min,p50_us_max,p95_us,p95_us_min,p95_us_max,p99_us,p99_us_min,p99_us_max,mean_cpu_us,mean_cpu_us_min,mean_cpu_us_max,mean_io_us,mean_io_us_min,mean_io_us_max,mean_comparisons,mean_comparisons_min,mean_comparisons_max,mean_hops,mean_hops_min,mean_hops_max,mean_ios,mean_ios_min,mean_ios_max,mean_exact_nav_reads,mean_exact_nav_reads_min,mean_exact_nav_reads_max,ssd_bytes_per_query,ssd_bytes_per_query_min,ssd_bytes_per_query_max,nav_dram_bytes_per_query,nav_dram_bytes_per_query_min,nav_dram_bytes_per_query_max,touched_bytes_per_query,touched_bytes_per_query_min,touched_bytes_per_query_max,peak_rss_kib,peak_rss_kib_min,peak_rss_kib_max,pq_resident_bytes,full_vector_resident_bytes,declared_nav_resident_bytes,query_scratch_bytes
pq8,8,50,0.67228,207.925,199.712,208.644,4228.0,4205.0,4441.0,6565.049999999999,6500.0999999999985,6671.049999999999,8251.330000000007,8175.170000000004,8672.060000000001,517.7687,515.9188,547.2199,3965.0716,3952.4057,4131.066,6831.3001,6831.3001,6831.3001,17.4228,17.4228,17.4228,63.9814,63.9814,63.9814,0.0,0.0,0.0,262067.8144,262067.8144,262067.8144,0.0,0.0,0.0,262067.8144,262067.8144,262067.8144,36492.0,36492.0,37388.0,8000000,0,8000000,
pq8,8,100,0.7961400000000001,122.553,116.524,125.656,7269.5,7109.5,7781.0,11077.0,10907.0,11316.249999999996,13525.070000000002,13219.260000000006,14321.04,915.7021,889.663,988.5203,6758.1945,6589.5526,7103.9676,11395.3204,11395.3204,11395.3204,29.393,29.393,29.393,112.6346,112.6346,112.6346,0.0,0.0,0.0,461351.3216,461351.3216,461351.3216,0.0,0.0,0.0,461351.3216,461351.3216,461351.3216,36492.0,36492.0,37388.0,8000000,0,8000000,
pq8,8,150,0.8560700000000001,86.3594,81.8028,87.7421,10391.0,10304.5,11102.0,15790.149999999998,15377.399999999994,16203.349999999995,18618.0,18598.50000000001,19241.02,1332.7724,1306.6168,1440.9712,9623.5547,9466.566,10150.3065,15852.6525,15852.6525,15852.6525,41.8122,41.8122,41.8122,161.8636,161.8636,161.8636,0.0,0.0,0.0,662993.3056,662993.3056,662993.3056,0.0,0.0,0.0,662993.3056,662993.3056,662993.3056,36492.0,36492.0,37388.0,8000000,0,8000000,
pq8,8,200,0.8908,66.1203,62.9985,67.7828,13640.5,13295.0,14394.0,20302.0,20146.349999999995,20853.349999999995,23663.06,23354.0,24374.090000000004,1672.7016,1621.3135,1806.381,12595.3242,12285.0626,13200.6619,20240.3855,20240.3855,20240.3855,54.0182,54.0182,54.0182,211.4812,211.4812,211.4812,0.0,0.0,0.0,866226.9952,866226.9952,866226.9952,0.0,0.0,0.0,866226.9952,866226.9952,866226.9952,36492.0,36492.0,37388.0,8000000,0,8000000,
pq8,8,300,0.9296600000000003,45.7708,43.937,46.3561,19894.0,19676.5,20896.5,29734.149999999998,29234.199999999997,30023.399999999994,33147.36000000001,33106.19,33556.70000000001,2442.7989,2402.5949,2609.6327,18263.6132,18030.5738,19001.744,28808.7561,28808.7561,28808.7561,78.827,78.827,78.827,310.875,310.875,310.875,0.0,0.0,0.0,1273344.0,1273344.0,1273344.0,0.0,0.0,0.0,1273344.0,1273344.0,1273344.0,36492.0,36492.0,37388.0,8000000,0,8000000,
pq16,16,50,0.9113100000000001,210.572,195.686,217.218,4236.0,4123.0,4544.0,6523.0,6415.049999999999,6804.0,8019.200000000004,7741.1600000000035,9149.550000000012,625.8494,600.7924,681.8883,3836.9123,3722.2948,4134.5406,6704.0115,6704.0115,6704.0115,17.1702,17.1702,17.1702,63.2446,63.2446,63.2446,0.0,0.0,0.0,259049.8816,259049.8816,259049.8816,0.0,0.0,0.0,259049.8816,259049.8816,259049.8816,44560.0,44556.0,44560.0,16000000,0,16000000,
pq16,16,100,0.9700400000000001,122.893,116.129,127.449,7260.0,7064.0,7789.0,11120.099999999999,11032.249999999996,11350.05,13921.210000000005,13761.400000000009,14169.04,1060.1537,1004.6025,1148.4539,6612.207,6386.3229,6987.2471,11237.3067,11237.3067,11237.3067,29.1701,29.1701,29.1701,112.1335,112.1335,112.1335,0.0,0.0,0.0,459298.816,459298.816,459298.816,0.0,0.0,0.0,459298.816,459298.816,459298.816,44560.0,44556.0,44560.0,16000000,0,16000000,
pq16,16,150,0.98605,83.4847,81.0679,86.4324,10842.5,10397.0,11233.0,16080.05,15855.05,16322.449999999993,18865.140000000003,18825.300000000007,19442.140000000003,1607.054,1534.8623,1683.5326,9760.3097,9433.2909,10039.2545,15650.7923,15650.7923,15650.7923,41.6562,41.6562,41.6562,161.4775,161.4775,161.4775,0.0,0.0,0.0,661411.84,661411.84,661411.84,0.0,0.0,0.0,661411.84,661411.84,661411.84,44560.0,44556.0,44560.0,16000000,0,16000000,
pq16,16,200,0.9920100000000001,65.4382,62.4741,65.9615,13781.5,13549.0,14499.0,20923.0,20790.0,21235.199999999997,24337.02,24283.140000000003,24417.250000000007,1974.5249,1957.3295,2123.4519,12483.8908,12382.6862,13047.7099,19988.223,19988.223,19988.223,53.8439,53.8439,53.8439,211.1364,211.1364,211.1364,0.0,0.0,0.0,864814.6944,864814.6944,864814.6944,0.0,0.0,0.0,864814.6944,864814.6944,864814.6944,44560.0,44556.0,44560.0,16000000,0,16000000,
pq16,16,300,0.99636,44.8716,42.9025,45.6089,20376.5,19917.5,21297.0,30455.05,29456.79999999999,31165.299999999996,34292.23,33516.42000000001,34586.19,2907.6544,2841.6235,3118.7238,18274.5929,17992.0177,19076.0286,28462.7695,28462.7695,28462.7695,78.6863,78.6863,78.6863,310.6191,310.6191,310.6191,0.0,0.0,0.0,1272295.8336,1272295.8336,1272295.8336,0.0,0.0,0.0,1272295.8336,1272295.8336,1272295.8336,44560.0,44556.0,44560.0,16000000,0,16000000,
