phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,pq8,pq,1,50,10000,208.644,47.9286,4205.0,6565.049999999999,8251.330000000007,515.9188,3952.4057,6831.3001,17.4228,63.9814,0.0,262067.8144,0.0,262067.8144,36492,10:10.30
full,pq8,pq,1,100,10000,125.656,79.5824,7109.5,10907.0,13219.260000000006,889.663,6589.5526,11395.3204,29.393,112.6346,0.0,461351.3216,0.0,461351.3216,36492,10:10.30
full,pq8,pq,1,150,10000,86.3594,115.795,10391.0,15790.149999999998,18618.0,1332.7724,9623.5547,15852.6525,41.8122,161.8636,0.0,662993.3056,0.0,662993.3056,36492,10:10.30
full,pq8,pq,1,200,10000,67.7828,147.53,13295.0,20146.349999999995,23354.0,1621.3135,12285.0626,20240.3855,54.0182,211.4812,0.0,866226.9952,0.0,866226.9952,36492,10:10.30
full,pq8,pq,1,300,10000,45.7708,218.48,19894.0,29734.149999999998,33147.36000000001,2442.7989,18263.6132,28808.7561,78.827,310.875,0.0,1273344.0,0.0,1273344.0,36492,10:10.30
full,pq8,pq,2,50,10000,207.925,48.0943,4228.0,6500.0999999999985,8175.170000000004,517.7687,3965.0716,6831.3001,17.4228,63.9814,0.0,262067.8144,0.0,262067.8144,37388,10:11.57
full,pq8,pq,2,100,10000,122.553,81.5975,7269.5,11077.0,13525.070000000002,915.7021,6758.1945,11395.3204,29.393,112.6346,0.0,461351.3216,0.0,461351.3216,37388,10:11.57
full,pq8,pq,2,150,10000,87.7421,113.97,10304.5,15377.399999999994,18598.50000000001,1306.6168,9466.566,15852.6525,41.8122,161.8636,0.0,662993.3056,0.0,662993.3056,37388,10:11.57
full,pq8,pq,2,200,10000,66.1203,151.239,13640.5,20302.0,23663.06,1672.7016,12595.3242,20240.3855,54.0182,211.4812,0.0,866226.9952,0.0,866226.9952,37388,10:11.57
full,pq8,pq,2,300,10000,46.3561,215.721,19676.5,29234.199999999997,33106.19,2402.5949,18030.5738,28808.7561,78.827,310.875,0.0,1273344.0,0.0,1273344.0,37388,10:11.57
full,pq8,pq,3,50,10000,199.712,50.0721,4441.0,6671.049999999999,8672.060000000001,547.2199,4131.066,6831.3001,17.4228,63.9814,0.0,262067.8144,0.0,262067.8144,36492,10:45.58
full,pq8,pq,3,100,10000,116.524,85.8191,7781.0,11316.249999999996,14321.04,988.5203,7103.9676,11395.3204,29.393,112.6346,0.0,461351.3216,0.0,461351.3216,36492,10:45.58
full,pq8,pq,3,150,10000,81.8028,122.245,11102.0,16203.349999999995,19241.02,1440.9712,10150.3065,15852.6525,41.8122,161.8636,0.0,662993.3056,0.0,662993.3056,36492,10:45.58
full,pq8,pq,3,200,10000,62.9985,158.734,14394.0,20853.349999999995,24374.090000000004,1806.381,13200.6619,20240.3855,54.0182,211.4812,0.0,866226.9952,0.0,866226.9952,36492,10:45.58
full,pq8,pq,3,300,10000,43.937,227.599,20896.5,30023.399999999994,33556.70000000001,2609.6327,19001.744,28808.7561,78.827,310.875,0.0,1273344.0,0.0,1273344.0,36492,10:45.58
full,pq16,pq,1,50,10000,217.218,46.0366,4123.0,6415.049999999999,8019.200000000004,600.7924,3722.2948,6704.0115,17.1702,63.2446,0.0,259049.8816,0.0,259049.8816,44560,10:12.03
full,pq16,pq,1,100,10000,127.449,78.4628,7064.0,11032.249999999996,13761.400000000009,1004.6025,6386.3229,11237.3067,29.1701,112.1335,0.0,459298.816,0.0,459298.816,44560,10:12.03
