L,comparisons,comparisons_r1,comparisons_r2,impl,p50_us,p50_us_r1,p50_us_r2,p95_us,p95_us_r1,p95_us_r2,p99_us,p99_us_r1,p99_us_r2,qps,qps_r1,qps_r2,reads,reads_r1,reads_r2,recall_at_10,recall_at_10_r1,recall_at_10_r2,repeats,rotation_mean_us,rotation_mean_us_r1,rotation_mean_us_r2,rotation_p50_us,rotation_p50_us_r1,rotation_p50_us_r2,rotation_p95_us,rotation_p95_us_r1,rotation_p95_us_r2,rotation_share_of_p50,rotation_share_of_p50_r1,rotation_share_of_p50_r2,zero_rotation_p50_us,zero_rotation_p50_us_r1,zero_rotation_p50_us_r2,zero_rotation_speedup_upper_bound,zero_rotation_speedup_upper_bound_r1,zero_rotation_speedup_upper_bound_r2
50,7521.503,7521.503,7521.503,v0,2781.25,2538.5,3024.0,6097.25,5438.25,6756.25,7170.749999999999,6707.4299999999985,7634.07,146.5385,164.091,128.986,65.689,65.689,65.689,0.7912,0.7912,0.7912,2,3354.885015,3062.09039,3647.6796400000003,3107.495,2873.64,3341.35,4828.06125,4817.4175,4838.705,1.1184833156037237,1.1320228481386645,1.104943783068783,0.0,0.0,0.0,2781250000000.0,2538500000000.0,3024000000000.0
100,12477.547,12477.547,12477.547,v0,5121.75,5047.0,5196.5,10147.55,9279.4,11015.699999999999,11408.994999999999,11069.72,11748.27,96.28345,100.516,92.0509,113.362,113.362,113.362,0.8951000000000001,0.8951000000000001,0.8951000000000001,2,4086.0159049999997,4137.662689999999,4034.3691200000003,4081.08,4267.155,3895.005,4829.405000000001,4823.1495,4835.6605,0.7975136896564957,0.8454834555181295,0.7495439237948619,1179.5175000000002,952.1000000000001,1406.9350000000002,4.497201759277699,5.30091376956202,3.693489748993379
200,22257.731,22257.731,22257.731,v0,11048.5,11318.5,10778.5,19599.824999999997,19378.3,19821.35,20510.875,20165.59,20856.16,53.81105,53.0367,54.5854,211.664,211.664,211.664,0.9575,0.9575,0.9575,2,4793.848725,4866.458289999999,4721.23916,4839.585,4844.895,4834.275,4907.23175,4927.5055,4886.958,0.43828095150611235,0.4280509784865486,0.4485109245256761,6200.1900000000005,6410.245,5990.135,1.7825321411090964,1.7656891429266743,1.7993751392915185
400,41006.141,41006.141,41006.141,v0,19935.25,19298.0,20572.5,30320.549999999996,23534.549999999996,37106.549999999996,32901.41,26868.6,38934.22,35.8554,38.8621,32.8487,410.334,410.334,410.334,0.9867,0.9867,0.9867,2,4879.8396649999995,4930.97567,4828.70366,4917.2375,4930.115,4904.360000000001,5012.898,5023.6845,5002.1115,0.24693340973164768,0.25547284692714267,0.23839397253615266,15021.085,14361.26,15680.91,1.3278497521419124,1.343753960307104,1.3119455439767207
800,76581.727,76581.727,76581.727,v0,38349.75,37772.0,38927.5,56279.2,43763.45,68794.95,61510.56,50093.11999999999,72928.0,21.163249999999998,22.223,20.1035,809.034,809.034,809.034,0.9962000000000001,0.9962000000000001,0.9962000000000001,2,4879.964285,4890.67565,4869.25292,4877.275,4878.0599999999995,4876.49,4979.410250000001,4960.452,4998.3685000000005,0.12720797503536407,0.12914486921529172,0.1252710808554364,33456.6725,32884.28,34029.065,1.1462912498698614,1.1486339369449476,1.1439485627947754
50,7521.503,7521.503,7521.503,v1,4679.25,5392.5,3966.0,7138.95,7223.25,7054.65,7883.709999999999,8025.29,7742.129999999999,136.285,131.15,141.42,65.689,65.689,65.689,0.7912,0.7912,0.7912,2,2300.3017875,2311.12342,2289.480155,2361.3275,2360.785,2361.87,2408.53975,2394.1130000000003,2422.9665,0.5166599752275426,0.4377904496986555,0.5955295007564296,2366.135,3020.43,1711.8400000000001,2.0510735655491272,1.7853418221908801,2.3168053089073744
100,12477.547,12477.547,12477.547,v1,6138.25,6133.0,6143.5,11331.625,11441.2,11222.05,12183.39,12354.199999999999,12012.58,98.78995,98.1143,99.4656,113.362,113.362,113.362,0.8951000000000001,0.8951000000000001,0.8951000000000001,2,2329.8950395,2366.1025,2293.687579,2359.7125,2360.34,2359.085,2408.25225,2410.271,2406.2335,0.38442793351323545,0.3848589597260721,0.3839969073003988,3819.0475,3762.335,3875.76,1.6076065889797369,1.6301047089108227,1.585108469048651
200,22257.731,22257.731,22257.731,v1,10408.5,10259.5,10557.5,16257.199999999999,12947.249999999996,19567.15,18202.805,15618.759999999998,20786.85,69.17885000000001,73.7416,64.6161,211.664,211.664,211.664,0.9575,0.9575,0.9575,2,2352.8801375000003,2370.2329580000005,2335.5273169999996,2360.34,2358.605,2362.075,2419.2235,2421.2315,2417.2155000000002,0.22681452190623713,0.22989473171207175,0.22373431210040254,8044.7825,7883.3150000000005,8206.25,1.2939694691080805,1.3014195170432743,1.2865194211728865
400,41006.141,41006.141,41006.141,v1,19922.5,19752.5,20092.5,30285.825,23830.15,36741.5,32717.739999999998,27053.09,38382.39,40.20105,42.2929,38.1092,410.334,410.334,410.334,0.9867,0.9867,0.9867,2,2403.746443,2422.02251,2385.470376,2391.0975,2410.6,2371.5950000000003,2525.465,2533.2165,2517.7135,0.12003704577189883,0.12204024806986458,0.11803384347393307,17527.129999999997,17338.2,17716.059999999998,1.1366939386765011,1.1392474420643435,1.134140435288659
800,76581.727,76581.727,76581.727,v1,39262.5,39246.5,39278.5,58245.899999999994,46777.9,69713.9,61788.58,49606.35,73970.81,21.6008,22.7166,20.485,809.034,809.034,809.034,0.9962000000000001,0.9962000000000001,0.9962000000000001,2,2366.345496,2381.329949,2351.361043,2362.065,2362.1,2362.03,2420.2455,2426.103,2414.388,0.060160850850678016,0.060186258647267905,0.06013544305408812,36892.869999999995,36869.37,36916.369999999995,1.0642301815719013,1.0644743861910306,1.063985976952772
