L,bits_per_dimension,center,code_bytes,full_vector_resident_bytes,label,mean_comparisons,mean_comparisons_max,mean_comparisons_min,mean_comparisons_r1,mean_comparisons_r2,mean_comparisons_r3,mean_cpu_us,mean_cpu_us_max,mean_cpu_us_min,mean_cpu_us_r1,mean_cpu_us_r2,mean_cpu_us_r3,mean_exact_nav_reads,mean_exact_nav_reads_max,mean_exact_nav_reads_min,mean_exact_nav_reads_r1,mean_exact_nav_reads_r2,mean_exact_nav_reads_r3,mean_hops,mean_hops_max,mean_hops_min,mean_hops_r1,mean_hops_r2,mean_hops_r3,mean_io_us,mean_io_us_max,mean_io_us_min,mean_io_us_r1,mean_io_us_r2,mean_io_us_r3,mean_ios,mean_ios_max,mean_ios_min,mean_ios_r1,mean_ios_r2,mean_ios_r3,nav_dram_bytes_per_query,nav_dram_bytes_per_query_max,nav_dram_bytes_per_query_min,nav_dram_bytes_per_query_r1,nav_dram_bytes_per_query_r2,nav_dram_bytes_per_query_r3,p50_us,p50_us_max,p50_us_min,p50_us_r1,p50_us_r2,p50_us_r3,p95_us,p95_us_max,p95_us_min,p95_us_r1,p95_us_r2,p95_us_r3,p99_us,p99_us_max,p99_us_min,p99_us_r1,p99_us_r2,p99_us_r3,peak_rss_kib,peak_rss_kib_max,peak_rss_kib_min,peak_rss_kib_r1,peak_rss_kib_r2,peak_rss_kib_r3,pq_resident_bytes,qps,qps_max,qps_min,qps_r1,qps_r2,qps_r3,recall_at_10,repeats,ssd_bytes_per_query,ssd_bytes_per_query_max,ssd_bytes_per_query_min,ssd_bytes_per_query_r1,ssd_bytes_per_query_r2,ssd_bytes_per_query_r3,touched_bytes_per_query,touched_bytes_per_query_max,touched_bytes_per_query_min,touched_bytes_per_query_r1,touched_bytes_per_query_r2,touched_bytes_per_query_r3
50,0.13333333333333333,mean,16,0,pq16,7630.092,7630.092,7630.092,7630.092,7630.092,,641.962,652.011,631.913,631.913,652.011,,0.0,0.0,0.0,0.0,0.0,,18.441,18.441,18.441,18.441,18.441,,2592.0434999999998,2709.723,2474.364,2474.364,2709.723,,67.255,67.255,67.255,67.255,67.255,,0.0,0.0,0.0,0.0,0.0,,3086.0,3128.0,3044.0,3044.0,3128.0,,5880.499999999998,6254.349999999999,5506.649999999997,5506.649999999997,6254.349999999999,,7035.5599999999995,7444.32,6626.799999999999,6626.799999999999,7444.32,,31808.0,32256.0,31360.0,31360.0,32256.0,,16000000,268.701,278.185,259.217,278.185,259.217,,0.36010000000000003,2,275476.48,275476.48,275476.48,275476.48,275476.48,,275476.48,275476.48,275476.48,275476.48,275476.48,
100,0.13333333333333333,mean,16,0,pq16,12501.698,12501.698,12501.698,12501.698,12501.698,,1201.5855,1210.562,1192.609,1210.562,1192.609,,0.0,0.0,0.0,0.0,0.0,,30.244,30.244,30.244,30.244,30.244,,5390.334,5519.517,5261.151,5519.517,5261.151,,114.903,114.903,114.903,114.903,114.903,,0.0,0.0,0.0,0.0,0.0,,5654.0,5813.0,5495.0,5813.0,5495.0,,10795.125,10844.55,10745.699999999999,10844.55,10745.699999999999,,11559.825,11621.58,11498.07,11621.58,11498.07,,31808.0,32256.0,31360.0,31360.0,32256.0,,16000000,137.147,139.762,134.532,134.532,139.762,,0.4622,2,470642.688,470642.688,470642.688,470642.688,470642.688,,470642.688,470642.688,470642.688,470642.688,470642.688,
200,0.13333333333333333,mean,16,0,pq16,22072.091,22072.091,22072.091,22072.091,22072.091,,2070.0570000000002,2117.3,2022.814,2117.3,2022.814,,0.0,0.0,0.0,0.0,0.0,,54.686,54.686,54.686,54.686,54.686,,8416.37,8930.1,7902.64,8930.1,7902.64,,213.093,213.093,213.093,213.093,213.093,,0.0,0.0,0.0,0.0,0.0,,9784.5,9929.0,9640.0,9929.0,9640.0,,17561.074999999997,18128.35,16993.8,18128.35,16993.8,,18859.915,19219.76,18500.07,19219.76,18500.07,,31808.0,32256.0,31360.0,31360.0,32256.0,,16000000,86.19195,90.4578,81.9261,81.9261,90.4578,,0.5782,2,872828.928,872828.928,872828.928,872828.928,872828.928,,872828.928,872828.928,872828.928,872828.928,872828.928,
400,0.13333333333333333,mean,16,0,pq16,40413.887,40413.887,40413.887,40413.887,40413.887,,3960.729,3962.999,3958.459,3962.999,3958.459,,0.0,0.0,0.0,0.0,0.0,,104.197,104.197,104.197,104.197,104.197,,17160.737,17192.611,17128.863,17128.863,17192.611,,411.587,411.587,411.587,411.587,411.587,,0.0,0.0,0.0,0.0,0.0,,18916.5,18956.5,18876.5,18956.5,18876.5,,34495.575,34514.2,34476.95,34476.95,34514.2,,36216.765,36343.08,36090.45,36090.45,36343.08,,31808.0,32256.0,31360.0,31360.0,32256.0,,16000000,43.080799999999996,43.1304,43.0312,43.1304,43.0312,,0.6927000000000001,2,1685860.352,1685860.352,1685860.352,1685860.352,1685860.352,,1685860.352,1685860.352,1685860.352,1685860.352,1685860.352,
800,0.13333333333333333,mean,16,0,pq16,75274.72,75274.72,75274.72,75274.72,75274.72,,7539.827,7612.545,7467.109,7467.109,7612.545,,0.0,0.0,0.0,0.0,0.0,,203.837,203.837,203.837,203.837,203.837,,32210.832000000002,32815.955,31605.709,31605.709,32815.955,,810.374,810.374,810.374,810.374,810.374,,0.0,0.0,0.0,0.0,0.0,,36957.25,37222.0,36692.5,36692.5,37222.0,,65859.2,66661.4,65057.0,65057.0,66661.4,,68690.495,68832.35,68548.64,68548.64,68832.35,,31808.0,32256.0,31360.0,31360.0,32256.0,,16000000,23.0081,23.3908,22.6254,23.3908,22.6254,,0.8078,2,3319291.904,3319291.904,3319291.904,3319291.904,3319291.904,,3319291.904,3319291.904,3319291.904,3319291.904,3319291.904,
50,0.26666666666666666,mean,32,0,pq32,7512.106,7512.106,7512.106,7512.106,7512.106,,827.1125,844.102,810.123,810.123,844.102,,0.0,0.0,0.0,0.0,0.0,,18.136,18.136,18.136,18.136,18.136,,2637.678,2744.629,2530.727,2530.727,2744.629,,66.162,66.162,66.162,66.162,66.162,,0.0,0.0,0.0,0.0,0.0,,3256.75,3298.5,3215.0,3215.0,3298.5,,6126.85,6295.45,5958.25,5958.25,6295.45,,7086.279999999999,7108.1799999999985,7064.379999999999,7064.379999999999,7108.1799999999985,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000000,253.144,261.584,244.704,261.584,244.704,,0.5441999999999999,2,270999.552,270999.552,270999.552,270999.552,270999.552,,270999.552,270999.552,270999.552,270999.552,270999.552,
100,0.26666666666666666,mean,32,0,pq32,12409.11,12409.11,12409.11,12409.11,12409.11,,1400.3535000000002,1425.913,1374.794,1374.794,1425.913,,0.0,0.0,0.0,0.0,0.0,,29.957,29.957,29.957,29.957,29.957,,4084.4935,4302.393,3866.594,3866.594,4302.393,,113.927,113.927,113.927,113.927,113.927,,0.0,0.0,0.0,0.0,0.0,,5472.5,5499.0,5446.0,5446.0,5499.0,,8483.325,10176.4,6790.25,6790.25,10176.4,,9971.989999999998,11508.06,8435.919999999998,8435.919999999998,11508.06,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000000,162.4205,169.015,155.826,169.015,155.826,,0.6695,2,466644.992,466644.992,466644.992,466644.992,466644.992,,466644.992,466644.992,466644.992,466644.992,466644.992,
200,0.26666666666666666,mean,32,0,pq32,22046.311,22046.311,22046.311,22046.311,22046.311,,2664.276,2722.501,2606.051,2606.051,2722.501,,0.0,0.0,0.0,0.0,0.0,,54.451,54.451,54.451,54.451,54.451,,8229.622,9006.529,7452.715,7452.715,9006.529,,212.38,212.38,212.38,212.38,212.38,,0.0,0.0,0.0,0.0,0.0,,10345.75,10444.0,10247.5,10247.5,10444.0,,16329.625,19558.15,13101.099999999999,13101.099999999999,19558.15,,19233.53,20663.36,17803.7,17803.7,20663.36,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000000,83.43625,89.2622,77.6103,89.2622,77.6103,,0.7921000000000001,2,869908.48,869908.48,869908.48,869908.48,869908.48,,869908.48,869908.48,869908.48,869908.48,869908.48,
400,0.26666666666666666,mean,32,0,pq32,40476.732,40476.732,40476.732,40476.732,40476.732,,4960.4515,5069.278,4851.625,5069.278,4851.625,,0.0,0.0,0.0,0.0,0.0,,104.015,104.015,104.015,104.015,104.015,,16076.355500000001,16907.002,15245.709,16907.002,15245.709,,410.941,410.941,410.941,410.941,410.941,,0.0,0.0,0.0,0.0,0.0,,19695.0,19914.0,19476.0,19914.0,19476.0,,35125.0,36208.15,34041.85,36208.15,34041.85,,37714.41499999999,37968.78999999999,37460.04,37968.78999999999,37460.04,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000000,43.3183,45.1223,41.5143,41.5143,45.1223,,0.8875000000000001,2,1683214.336,1683214.336,1683214.336,1683214.336,1683214.336,,1683214.336,1683214.336,1683214.336,1683214.336,1683214.336,
800,0.26666666666666666,mean,32,0,pq32,75496.57,75496.57,75496.57,75496.57,75496.57,,10063.7555,10152.842,9974.669,9974.669,10152.842,,0.0,0.0,0.0,0.0,0.0,,203.614,203.614,203.614,203.614,203.614,,34643.803,35299.427,33988.179,33988.179,35299.427,,809.732,809.732,809.732,809.732,809.732,,0.0,0.0,0.0,0.0,0.0,,40139.5,40859.5,39419.5,39419.5,40859.5,,71366.04999999999,71690.65,71041.45,71041.45,71690.65,,75275.405,75444.81999999999,75105.99,75444.81999999999,75105.99,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000000,20.62345,20.9456,20.3013,20.9456,20.3013,,0.9483,2,3316662.272,3316662.272,3316662.272,3316662.272,3316662.272,,3316662.272,3316662.272,3316662.272,3316662.272,3316662.272,
50,0.5333333333333333,mean,64,0,pq64,7472.108,7472.108,7472.108,7472.108,7472.108,,1171.059,1182.388,1159.73,1159.73,1182.388,,0.0,0.0,0.0,0.0,0.0,,18.029,18.029,18.029,18.029,18.029,,2968.0060000000003,2977.916,2958.096,2977.916,2958.096,,65.748,65.748,65.748,65.748,65.748,,0.0,0.0,0.0,0.0,0.0,,3684.25,3709.5,3659.0,3659.0,3709.5,,6898.724999999999,6963.65,6833.799999999999,6963.65,6833.799999999999,,7679.699999999999,7696.379999999999,7663.019999999999,7663.019999999999,7696.379999999999,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000000,215.727,215.976,215.478,215.976,215.478,,0.6938,2,269303.808,269303.808,269303.808,269303.808,269303.808,,269303.808,269303.808,269303.808,269303.808,269303.808,
100,0.5333333333333333,mean,64,0,pq64,12401.511,12401.511,12401.511,12401.511,12401.511,,2085.7605000000003,2109.237,2062.284,2109.237,2062.284,,0.0,0.0,0.0,0.0,0.0,,29.872,29.872,29.872,29.872,29.872,,4647.9185,4827.789,4468.048,4827.789,4468.048,,113.726,113.726,113.726,113.726,113.726,,0.0,0.0,0.0,0.0,0.0,,6193.5,6250.0,6137.0,6250.0,6137.0,,11326.474999999999,11507.2,11145.749999999998,11507.2,11145.749999999998,,12102.22,12194.279999999999,12010.16,12194.279999999999,12010.16,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000000,134.77249999999998,138.505,131.04,131.04,138.505,,0.8178000000000001,2,465821.696,465821.696,465821.696,465821.696,465821.696,,465821.696,465821.696,465821.696,465821.696,465821.696,
200,0.5333333333333333,mean,64,0,pq64,22047.895,22047.895,22047.895,22047.895,22047.895,,3733.841,3750.221,3717.461,3750.221,3717.461,,0.0,0.0,0.0,0.0,0.0,,54.339,54.339,54.339,54.339,54.339,,8345.639500000001,8566.048,8125.231,8566.048,8125.231,,212.0,212.0,212.0,212.0,212.0,,0.0,0.0,0.0,0.0,0.0,,11310.25,11322.0,11298.5,11322.0,11298.5,,19792.025,20168.0,19416.05,20168.0,19416.05,,21003.785,21237.08,20770.489999999998,21237.08,20770.489999999998,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000000,75.58265,76.9364,74.2289,74.2289,76.9364,,0.9105000000000001,2,868352.0,868352.0,868352.0,868352.0,868352.0,,868352.0,868352.0,868352.0,868352.0,868352.0,
400,0.5333333333333333,mean,64,0,pq64,40561.57,40561.57,40561.57,40561.57,40561.57,,7203.405000000001,7421.011,6985.799,7421.011,6985.799,,0.0,0.0,0.0,0.0,0.0,,103.912,103.912,103.912,103.912,103.912,,17158.9245,18800.731,15517.118,18800.731,15517.118,,410.64,410.64,410.64,410.64,410.64,,0.0,0.0,0.0,0.0,0.0,,22043.25,22525.5,21561.0,22525.5,21561.0,,39227.5,40283.799999999996,38171.2,40283.799999999996,38171.2,,40946.56,42124.72,39768.4,42124.72,39768.4,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000000,37.92115,40.6527,35.1896,35.1896,40.6527,,0.9682000000000001,2,1681981.44,1681981.44,1681981.44,1681981.44,1681981.44,,1681981.44,1681981.44,1681981.44,1681981.44,1681981.44,
800,0.5333333333333333,mean,64,0,pq64,75712.277,75712.277,75712.277,75712.277,75712.277,,14348.1345,14989.765,13706.504,13706.504,14989.765,,0.0,0.0,0.0,0.0,0.0,,203.496,203.496,203.496,203.496,203.496,,35489.1925,40236.501,30741.884,30741.884,40236.501,,809.382,809.382,809.382,809.382,809.382,,0.0,0.0,0.0,0.0,0.0,,46867.5,51253.0,42482.0,42482.0,51253.0,,76260.75,78174.84999999999,74346.65,74346.65,78174.84999999999,,79294.495,80782.12,77806.87,77806.87,80782.12,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000000,18.836550000000003,20.756,16.9171,20.756,16.9171,,0.9908,2,3315228.672,3315228.672,3315228.672,3315228.672,3315228.672,,3315228.672,3315228.672,3315228.672,3315228.672,3315228.672,
50,32.0,median,3840,3840000000,exact,7356.268,7356.268,7356.268,7356.268,7356.268,7356.268,3338.52,7771.225,3049.637,3338.52,7771.225,3049.637,4096.744,4096.744,4096.744,4096.744,4096.744,4096.744,17.548,17.548,17.548,17.548,17.548,17.548,2385.913,3874.662,1995.333,2385.913,3874.662,1995.333,63.996,63.996,63.996,63.996,63.996,63.996,15731496.959999999,15731496.959999999,15731496.959999999,15731496.959999999,15731496.959999999,15731496.959999999,5216.0,11906.5,4846.0,5216.0,11906.5,4846.0,9510.5,16967.1,8179.149999999999,9510.5,16967.1,8179.149999999999,10345.909999999998,20622.009999999984,9874.15,10345.909999999998,20622.009999999984,9874.15,3782016.0,3782912.0,3782016.0,3782912.0,3782016.0,3782016.0,0,163.617,186.291,83.1049,163.617,83.1049,186.291,0.888,3,262127.616,262127.616,262127.616,262127.616,262127.616,262127.616,15993624.576,15993624.576,15993624.576,15993624.576,15993624.576,15993624.576
100,32.0,median,3840,3840000000,exact,12362.462,12362.462,12362.462,12362.462,12362.462,12362.462,6552.092,7771.863,5643.267,6552.092,7771.863,5643.267,7156.392,7156.392,7156.392,7156.392,7156.392,7156.392,29.311,29.311,29.311,29.311,29.311,29.311,4433.93,4572.305,3250.462,4572.305,4433.93,3250.462,111.803,111.803,111.803,111.803,111.803,111.803,27480545.28,27480545.28,27480545.28,27480545.28,27480545.28,27480545.28,10147.0,10541.0,9280.0,10147.0,10541.0,9280.0,16508.3,21169.5,10564.05,16508.3,21169.5,10564.05,17635.25,25338.6,11099.01,17635.25,25338.6,11099.01,3782016.0,3782912.0,3782016.0,3782912.0,3782016.0,3782016.0,0,85.365,106.487,78.7131,85.365,78.7131,106.487,0.947,3,457945.088,457945.088,457945.088,457945.088,457945.088,457945.088,27938490.368,27938490.368,27938490.368,27938490.368,27938490.368,27938490.368
200,32.0,median,3840,3840000000,exact,22206.02,22206.02,22206.02,22206.02,22206.02,22206.02,11234.076,13658.71,10728.936,11234.076,13658.71,10728.936,13453.864,13453.864,13453.864,13453.864,13453.864,13453.864,53.809,53.809,53.809,53.809,53.809,53.809,7268.044,9561.541,6774.267,7268.044,9561.541,6774.267,210.201,210.201,210.201,210.201,210.201,210.201,51662837.76,51662837.76,51662837.76,51662837.76,51662837.76,51662837.76,17896.0,20158.5,17125.0,17896.0,20158.5,17125.0,28497.3,33397.65,28082.799999999996,28497.3,33397.65,28082.799999999996,30176.3,35029.2,30154.26,30176.3,35029.2,30154.26,3782016.0,3782912.0,3782016.0,3782912.0,3782016.0,3782016.0,0,51.4495,54.3818,41.2121,51.4495,41.2121,54.3818,0.9823999999999999,3,860983.296,860983.296,860983.296,860983.296,860983.296,860983.296,52523821.055999994,52523821.055999994,52523821.055999994,52523821.055999994,52523821.055999994,52523821.055999994
400,32.0,median,3840,3840000000,exact,41068.711,41068.711,41068.711,41068.711,41068.711,41068.711,21954.89,22103.898,20615.438,22103.898,21954.89,20615.438,26170.088,26170.088,26170.088,26170.088,26170.088,26170.088,103.406,103.406,103.406,103.406,103.406,103.406,11843.15,14510.699,11739.042,14510.699,11739.042,11843.15,408.892,408.892,408.892,408.892,408.892,408.892,100493137.92,100493137.92,100493137.92,100493137.92,100493137.92,100493137.92,34543.5,35153.5,33612.0,34543.5,35153.5,33612.0,37855.1,56015.65,36630.45,56015.65,37855.1,36630.45,40491.23999999999,58124.51,38586.51,58124.51,38586.51,40491.23999999999,3782016.0,3782912.0,3782016.0,3782912.0,3782016.0,3782016.0,0,28.4352,29.4202,26.1047,26.1047,28.4352,29.4202,0.9944,3,1674821.632,1674821.632,1674821.632,1674821.632,1674821.632,1674821.632,102167959.552,102167959.552,102167959.552,102167959.552,102167959.552,102167959.552
800,32.0,median,3840,3840000000,exact,76839.872,76839.872,76839.872,76839.872,76839.872,76839.872,44081.073,46649.015,42671.054,44081.073,46649.015,42671.054,51692.264,51692.264,51692.264,51692.264,51692.264,51692.264,203.001,203.001,203.001,203.001,203.001,203.001,27787.984,29731.546,26568.225,27787.984,29731.546,26568.225,807.676,807.676,807.676,807.676,807.676,807.676,198498293.76000002,198498293.76000002,198498293.76000002,198498293.76000002,198498293.76000002,198498293.76000002,68919.5,71408.5,67413.0,68919.5,71408.5,67413.0,109342.95,115869.49999999997,108326.2,109342.95,115869.49999999997,108326.2,112920.59,121739.08,112499.67,112920.59,121739.08,112499.67,3782016.0,3782912.0,3782016.0,3782912.0,3782016.0,3782016.0,0,13.3318,13.8388,12.5795,13.3318,12.5795,13.8388,0.9982000000000001,3,3308240.896,3308240.896,3308240.896,3308240.896,3308240.896,3308240.896,201806534.65600002,201806534.65600002,201806534.65600002,201806534.65600002,201806534.65600002,201806534.65600002
