phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
discovery,pq16,pq,1,50,1000,278.185,3.59473,3044.0,5506.649999999997,6626.799999999999,631.913,2474.364,7630.092,18.441,67.255,0.0,275476.48,0.0,275476.48,31360,1:29.64
discovery,pq16,pq,1,100,1000,134.532,7.43317,5813.0,10844.55,11621.58,1210.562,5519.517,12501.698,30.244,114.903,0.0,470642.688,0.0,470642.688,31360,1:29.64
discovery,pq16,pq,1,200,1000,81.9261,12.2061,9929.0,18128.35,19219.76,2117.3,8930.1,22072.091,54.686,213.093,0.0,872828.928,0.0,872828.928,31360,1:29.64
discovery,pq16,pq,1,400,1000,43.1304,23.1855,18956.5,34476.95,36090.45,3962.999,17128.863,40413.887,104.197,411.587,0.0,1685860.352,0.0,1685860.352,31360,1:29.64
discovery,pq16,pq,1,800,1000,23.3908,42.7519,36692.5,65057.0,68548.64,7467.109,31605.709,75274.72,203.837,810.374,0.0,3319291.904,0.0,3319291.904,31360,1:29.64
discovery,pq16,pq,2,50,1000,259.217,3.85777,3128.0,6254.349999999999,7444.32,652.011,2709.723,7630.092,18.441,67.255,0.0,275476.48,0.0,275476.48,32256,1:29.96
discovery,pq16,pq,2,100,1000,139.762,7.15502,5495.0,10745.699999999999,11498.07,1192.609,5261.151,12501.698,30.244,114.903,0.0,470642.688,0.0,470642.688,32256,1:29.96
discovery,pq16,pq,2,200,1000,90.4578,11.0549,9640.0,16993.8,18500.07,2022.814,7902.64,22072.091,54.686,213.093,0.0,872828.928,0.0,872828.928,32256,1:29.96
discovery,pq16,pq,2,400,1000,43.0312,23.239,18876.5,34514.2,36343.08,3958.459,17192.611,40413.887,104.197,411.587,0.0,1685860.352,0.0,1685860.352,32256,1:29.96
discovery,pq16,pq,2,800,1000,22.6254,44.1981,37222.0,66661.4,68832.35,7612.545,32815.955,75274.72,203.837,810.374,0.0,3319291.904,0.0,3319291.904,32256,1:29.96
discovery,pq32,pq,1,50,1000,261.584,3.82286,3215.0,5958.25,7064.379999999999,810.123,2530.727,7512.106,18.136,66.162,0.0,270999.552,0.0,270999.552,48384,1:33.04
discovery,pq32,pq,1,100,1000,169.015,5.91663,5446.0,6790.25,8435.919999999998,1374.794,3866.594,12409.11,29.957,113.927,0.0,466644.992,0.0,466644.992,48384,1:33.04
discovery,pq32,pq,1,200,1000,89.2622,11.203,10247.5,13101.099999999999,17803.7,2606.051,7452.715,22046.311,54.451,212.38,0.0,869908.48,0.0,869908.48,48384,1:33.04
discovery,pq32,pq,1,400,1000,41.5143,24.0881,19914.0,36208.15,37968.78999999999,5069.278,16907.002,40476.732,104.015,410.941,0.0,1683214.336,0.0,1683214.336,48384,1:33.04
discovery,pq32,pq,1,800,1000,20.9456,47.7427,39419.5,71041.45,75444.81999999999,9974.669,33988.179,75496.57,203.614,809.732,0.0,3316662.272,0.0,3316662.272,48384,1:33.04
discovery,pq32,pq,2,50,1000,244.704,4.08657,3298.5,6295.45,7108.1799999999985,844.102,2744.629,7512.106,18.136,66.162,0.0,270999.552,0.0,270999.552,45696,1:35.32
discovery,pq32,pq,2,100,1000,155.826,6.41743,5499.0,10176.4,11508.06,1425.913,4302.393,12409.11,29.957,113.927,0.0,466644.992,0.0,466644.992,45696,1:35.32
discovery,pq32,pq,2,200,1000,77.6103,12.8849,10444.0,19558.15,20663.36,2722.501,9006.529,22046.311,54.451,212.38,0.0,869908.48,0.0,869908.48,45696,1:35.32
discovery,pq32,pq,2,400,1000,45.1223,22.162,19476.0,34041.85,37460.04,4851.625,15245.709,40476.732,104.015,410.941,0.0,1683214.336,0.0,1683214.336,45696,1:35.32
discovery,pq32,pq,2,800,1000,20.3013,49.2578,40859.5,71690.65,75105.99,10152.842,35299.427,75496.57,203.614,809.732,0.0,3316662.272,0.0,3316662.272,45696,1:35.32
discovery,pq64,pq,1,50,1000,215.976,4.63015,3659.0,6963.65,7663.019999999999,1159.73,2977.916,7472.108,18.029,65.748,0.0,269303.808,0.0,269303.808,79744,1:42.69
discovery,pq64,pq,1,100,1000,131.04,7.63128,6250.0,11507.2,12194.279999999999,2109.237,4827.789,12401.511,29.872,113.726,0.0,465821.696,0.0,465821.696,79744,1:42.69
discovery,pq64,pq,1,200,1000,74.2289,13.4718,11322.0,20168.0,21237.08,3750.221,8566.048,22047.895,54.339,212.0,0.0,868352.0,0.0,868352.0,79744,1:42.69
discovery,pq64,pq,1,400,1000,35.1896,28.4175,22525.5,40283.799999999996,42124.72,7421.011,18800.731,40561.57,103.912,410.64,0.0,1681981.44,0.0,1681981.44,79744,1:42.69
discovery,pq64,pq,1,800,1000,20.756,48.1788,42482.0,74346.65,77806.87,13706.504,30741.884,75712.277,203.496,809.382,0.0,3315228.672,0.0,3315228.672,79744,1:42.69
discovery,pq64,pq,2,50,1000,215.478,4.64085,3709.5,6833.799999999999,7696.379999999999,1182.388,2958.096,7472.108,18.029,65.748,0.0,269303.808,0.0,269303.808,78848,1:48.98
discovery,pq64,pq,2,100,1000,138.505,7.21994,6137.0,11145.749999999998,12010.16,2062.284,4468.048,12401.511,29.872,113.726,0.0,465821.696,0.0,465821.696,78848,1:48.98
discovery,pq64,pq,2,200,1000,76.9364,12.9977,11298.5,19416.05,20770.489999999998,3717.461,8125.231,22047.895,54.339,212.0,0.0,868352.0,0.0,868352.0,78848,1:48.98
discovery,pq64,pq,2,400,1000,40.6527,24.5986,21561.0,38171.2,39768.4,6985.799,15517.118,40561.57,103.912,410.64,0.0,1681981.44,0.0,1681981.44,78848,1:48.98
discovery,pq64,pq,2,800,1000,16.9171,59.1117,51253.0,78174.84999999999,80782.12,14989.765,40236.501,75712.277,203.496,809.382,0.0,3315228.672,0.0,3315228.672,78848,1:48.98
discovery,exact,exact,1,50,1000,163.617,6.11182,5216.0,9510.5,10345.909999999998,3338.52,2385.913,7356.268,17.548,63.996,4096.744,262127.616,15731496.959999999,15993624.576,3782912,2:33.27
discovery,exact,exact,1,100,1000,85.365,11.7144,10147.0,16508.3,17635.25,6552.092,4572.305,12362.462,29.311,111.803,7156.392,457945.088,27480545.28,27938490.368,3782912,2:33.27
discovery,exact,exact,1,200,1000,51.4495,19.4365,17896.0,28497.3,30176.3,11234.076,7268.044,22206.02,53.809,210.201,13453.864,860983.296,51662837.76,52523821.055999994,3782912,2:33.27
discovery,exact,exact,1,400,1000,26.1047,38.3073,34543.5,56015.65,58124.51,22103.898,14510.699,41068.711,103.406,408.892,26170.088,1674821.632,100493137.92,102167959.552,3782912,2:33.27
discovery,exact,exact,1,800,1000,13.3318,75.0088,68919.5,109342.95,112920.59,44081.073,27787.984,76839.872,203.001,807.676,51692.264,3308240.896,198498293.76000002,201806534.65600002,3782912,2:33.27
discovery,exact,exact,2,50,1000,83.1049,12.033,11906.5,16967.1,20622.009999999984,7771.225,3874.662,7356.268,17.548,63.996,4096.744,262127.616,15731496.959999999,15993624.576,3782016,2:46.45
discovery,exact,exact,2,100,1000,78.7131,12.7044,10541.0,21169.5,25338.6,7771.863,4433.93,12362.462,29.311,111.803,7156.392,457945.088,27480545.28,27938490.368,3782016,2:46.45
discovery,exact,exact,2,200,1000,41.2121,24.2647,20158.5,33397.65,35029.2,13658.71,9561.541,22206.02,53.809,210.201,13453.864,860983.296,51662837.76,52523821.055999994,3782016,2:46.45
discovery,exact,exact,2,400,1000,28.4352,35.1677,35153.5,37855.1,38586.51,21954.89,11739.042,41068.711,103.406,408.892,26170.088,1674821.632,100493137.92,102167959.552,3782016,2:46.45
discovery,exact,exact,2,800,1000,12.5795,79.4945,71408.5,115869.49999999997,121739.08,46649.015,29731.546,76839.872,203.001,807.676,51692.264,3308240.896,198498293.76000002,201806534.65600002,3782016,2:46.45
discovery,exact,exact,3,50,1000,186.291,5.36795,4846.0,8179.149999999999,9874.15,3049.637,1995.333,7356.268,17.548,63.996,4096.744,262127.616,15731496.959999999,15993624.576,3782016,2:22.20
discovery,exact,exact,3,100,1000,106.487,9.39086,9280.0,10564.05,11099.01,5643.267,3250.462,12362.462,29.311,111.803,7156.392,457945.088,27480545.28,27938490.368,3782016,2:22.20
discovery,exact,exact,3,200,1000,54.3818,18.3885,17125.0,28082.799999999996,30154.26,10728.936,6774.267,22206.02,53.809,210.201,13453.864,860983.296,51662837.76,52523821.055999994,3782016,2:22.20
discovery,exact,exact,3,400,1000,29.4202,33.9902,33612.0,36630.45,40491.23999999999,20615.438,11843.15,41068.711,103.406,408.892,26170.088,1674821.632,100493137.92,102167959.552,3782016,2:22.20
discovery,exact,exact,3,800,1000,13.8388,72.2604,67413.0,108326.2,112499.67,42671.054,26568.225,76839.872,203.001,807.676,51692.264,3308240.896,198498293.76000002,201806534.65600002,3782016,2:22.20
