L,budget,selector,selected_nodes,selected_trace_visits,all_trace_visits,visit_coverage,selected_unique_visited,all_unique_visited,selected_score_sum
50,40,distance_regret,250000,2119274,4681745,0.45266754169652557,250000,827599,170383.8052369419
50,40,random,250000,1169729,4681745,0.24984893453188928,206678,827599,0.0
50,40,routing_aware,250000,1381983,4681745,0.295185449015271,194049,827599,179933.0
50,40,visit_frequency,250000,3268395,4681745,0.6981146986860668,250000,827599,3268395.0
50,48,distance_regret,500000,3377286,4681745,0.7213733340880377,500000,827599,202224.18505809025
50,48,random,500000,2348022,4681745,0.5015271015401309,413786,827599,0.0
50,48,routing_aware,500000,2020507,4681745,0.4315713478628161,382282,827599,179933.0
50,48,visit_frequency,500000,4206913,4681745,0.8985779874811636,500000,827599,4206913.0
50,56,distance_regret,750000,4354352,4681745,0.9300703049824371,745374,827599,207971.4288643611
50,56,random,750000,3511217,4681745,0.7499804026062932,620517,827599,0.0
50,56,routing_aware,750000,2817332,4681745,0.6017696393118378,594819,827599,179933.0
50,56,visit_frequency,750000,4604146,4681745,0.983425197228811,750000,827599,4604146.0
100,40,distance_regret,250000,2845323,7189741,0.3957476354155178,250000,913939,271105.61867548
100,40,random,250000,1788427,7189741,0.24874706891388718,228422,913939,0.0
100,40,routing_aware,250000,2123271,7189741,0.2953195393269382,221070,913939,275305.0
100,40,visit_frequency,250000,4679413,7189741,0.6508458371448985,250000,913939,4679413.0
100,48,distance_regret,500000,4770991,7189741,0.6635831527171842,500000,913939,331021.04242986685
100,48,random,500000,3583327,7189741,0.4983944484231073,456755,913939,0.0
100,48,routing_aware,500000,3093187,7189741,0.4302223125979086,437341,913939,275305.0
100,48,visit_frequency,500000,6220903,7189741,0.8652471625890279,500000,913939,6220903.0
100,56,distance_regret,750000,6305789,7189741,0.8770537074979474,750000,913939,347486.57133462594
100,56,random,750000,5385071,7189741,0.7489937398301274,685338,913939,0.0
100,56,routing_aware,750000,4320312,7189741,0.6008995317077486,670521,913939,275305.0
100,56,visit_frequency,750000,6977917,7189741,0.970538020771541,750000,913939,6977917.0
200,40,distance_regret,250000,4118765,11658574,0.3532820566220191,250000,965072,453506.5358638427
200,40,random,250000,2909350,11658574,0.24954595647803926,241411,965072,0.0
200,40,routing_aware,250000,3498461,11658574,0.3000762357386075,240017,965072,413506.0
200,40,visit_frequency,250000,7146422,11658574,0.6129756520823215,250000,965072,7146422.0
200,48,distance_regret,500000,7271720,11658574,0.6237229355837172,500000,965072,566354.3881690209
200,48,random,500000,5829612,11658574,0.5000278764795764,482507,965072,0.0
200,48,routing_aware,500000,5001942,11658574,0.42903548924594037,473980,965072,413506.0
200,48,visit_frequency,500000,9785448,11658574,0.8393348963603954,500000,965072,9785448.0
200,56,distance_regret,750000,9799771,11658574,0.8405634342587696,750000,965072,603115.0192233121
200,56,random,750000,8745298,11658574,0.7501172956486788,723693,965072,0.0
200,56,routing_aware,750000,6979810,11658574,0.5986847104971843,717349,965072,413506.0
200,56,visit_frequency,750000,11180267,11658574,0.958973799025507,750000,965072,11180267.0
400,40,distance_regret,250000,6215601,19192867,0.32384953222465407,250000,987348,766056.0091261768
400,40,random,250000,4781976,19192867,0.24915381323696975,246873,987348,0.0
400,40,routing_aware,250000,5878292,19192867,0.30627482595487165,249724,987348,617258.0
400,40,visit_frequency,250000,11217725,19192867,0.5844736484653387,250000,987348,11217725.0
400,48,distance_regret,500000,11446729,19192867,0.5964053728919186,500000,987348,973547.1348033244
400,48,random,500000,9580112,19192867,0.4991496059447502,493683,987348,0.0
400,48,routing_aware,500000,8162965,19192867,0.42531243508330463,491070,987348,617258.0
400,48,visit_frequency,500000,15725363,19192867,0.8193337139261164,500000,987348,15725363.0
400,56,distance_regret,750000,15773833,19192867,0.8218591313116482,750000,987348,1046772.1730166281
400,56,random,750000,14392045,19192867,0.7498642594668113,740553,987348,0.0
400,56,routing_aware,750000,11412954,19192867,0.5946456045363103,738111,987348,617258.0
400,56,visit_frequency,750000,18223284,19192867,0.9494821174970889,750000,987348,18223284.0
800,40,distance_regret,250000,9488299,31356440,0.30259490554412427,250000,995210,1281844.9697583753
800,40,random,250000,7846243,31356440,0.2502274811808994,248794,995210,0.0
800,40,routing_aware,250000,8632911,31356440,0.2753154057029433,250000,995210,852974.0
800,40,visit_frequency,250000,17600285,31356440,0.5612972965043226,250000,995210,17600285.0
800,48,distance_regret,500000,18117896,31356440,0.5778046232289125,500000,995210,1652401.3349427618
800,48,random,500000,15699736,31356440,0.5006861748336227,497593,995210,0.0
800,48,routing_aware,500000,13297375,31356440,0.42407157827865666,497169,995210,916048.0
800,48,visit_frequency,500000,25209377,31356440,0.8039617061120459,500000,995210,25209377.0
800,56,distance_regret,750000,25450345,31356440,0.8116465070652154,750000,995210,1788999.9031262968
800,56,random,750000,23547639,31356440,0.7509665956977258,746366,995210,0.0
800,56,routing_aware,750000,18660084,31356440,0.595095744287298,745342,995210,916048.0
800,56,visit_frequency,750000,29557589,31356440,0.9426321674271697,750000,995210,29557589.0
