L,budget,selector,baseline_recall,mixed_recall,recall_delta,baseline_hits,mixed_hits,hits_delta,baseline_reads,mixed_reads,reads_reduction_abs,reads_reduction_pct,baseline_comparisons,mixed_comparisons,comparisons_reduction_abs,comparisons_reduction_pct,strict_signal
50,40,random,0.8159,0.7978,-0.018100000000000005,8159,7978,-181,65.417,65.82,-0.4029999999999916,-0.6160478163168467,7488.92,7549.726,-60.805999999999585,-0.8119461818259454,False
50,40,visit_frequency,0.8159,0.8413,0.02540000000000009,8159,8413,254,65.417,66.475,-1.0579999999999927,-1.6173165996606276,7488.92,7576.665,-87.74499999999989,-1.1716642720178596,False
50,40,distance_regret,0.8159,0.8294,0.013500000000000068,8159,8294,135,65.417,66.118,-0.7009999999999934,-1.0715868963724924,7488.92,7570.383,-81.46299999999974,-1.0877803475000365,False
50,40,routing_aware,0.8159,0.831,0.015100000000000002,8159,8310,151,65.417,65.166,0.2510000000000048,0.3836923123958677,7488.92,7473.42,15.5,0.2069724339424109,True
50,48,random,0.8439,0.81,-0.03389999999999993,8439,8100,-339,65.142,65.571,-0.42900000000000205,-0.6585612968591724,7461.032,7531.608,-70.57600000000002,-0.9459281236161434,False
50,48,visit_frequency,0.8439,0.8587,0.014800000000000035,8439,8587,148,65.142,65.583,-0.4410000000000025,-0.6769825918762128,7461.032,7499.857,-38.82499999999982,-0.5203703723559934,False
50,48,distance_regret,0.8439,0.8566,0.012700000000000045,8439,8566,127,65.142,65.472,-0.3299999999999983,-0.5065856129685891,7461.032,7503.942,-42.909999999999854,-0.5751215113405204,False
50,48,routing_aware,0.8439,0.8322,-0.011699999999999933,8439,8322,-117,65.142,65.08,0.06199999999999761,0.09517669092136812,7461.032,7462.647,-1.6149999999997817,-0.021645799133414544,False
50,56,random,0.8605,0.8369,-0.023600000000000065,8605,8369,-236,65.344,65.41,-0.0660000000000025,-0.10100391772772176,7486.82,7516.019,-29.199000000000524,-0.3900053694358957,False
50,56,visit_frequency,0.8605,0.8733,0.012799999999999923,8605,8733,128,65.344,65.02,0.32399999999999807,0.49583741429970324,7486.82,7447.909,38.91100000000006,0.519726666328295,True
50,56,distance_regret,0.8605,0.8732,0.012699999999999934,8605,8732,127,65.344,64.932,0.41199999999999193,0.6305093046033178,7486.82,7446.499,40.32099999999991,0.538559762355712,True
50,56,routing_aware,0.8605,0.8336,-0.026900000000000035,8605,8336,-269,65.344,64.882,0.4619999999999891,0.7070274240940089,7486.82,7447.277,39.542999999999665,0.5281681675263953,False
100,40,random,0.9136,0.8985,-0.015100000000000002,9136,8985,-151,113.335,113.5,-0.16500000000000625,-0.14558609432214784,12475.472,12521.224,-45.75200000000041,-0.36673562330948606,False
100,40,visit_frequency,0.9136,0.926,0.012400000000000078,9136,9260,124,113.335,113.932,-0.5970000000000084,-0.526756959456486,12475.472,12476.277,-0.805000000000291,-0.0064526616708393165,False
100,40,distance_regret,0.9136,0.9201,0.006500000000000061,9136,9201,65,113.335,113.887,-0.5520000000000067,-0.48705166100499114,12475.472,12536.492,-61.02000000000044,-0.48911977037823046,False
100,40,routing_aware,0.9136,0.9185,0.0049000000000000155,9136,9185,49,113.335,113.167,0.16799999999999216,0.14823311421890165,12475.472,12489.809,-14.336999999999534,-0.11492150357116376,False
100,48,random,0.93,0.9087,-0.021300000000000097,9300,9087,-213,113.056,113.423,-0.36700000000000443,-0.32461788848004924,12449.312,12538.95,-89.63800000000083,-0.7200237250058544,False
100,48,visit_frequency,0.93,0.9391,0.009099999999999997,9300,9391,91,113.056,113.51,-0.45400000000000773,-0.4015709029153762,12449.312,12462.316,-13.004000000000815,-0.10445557152074601,False
100,48,distance_regret,0.93,0.9349,0.004899999999999904,9300,9349,49,113.056,113.142,-0.08599999999999852,-0.07606849702802021,12449.312,12461.396,-12.084000000000742,-0.09706560491054238,False
100,48,routing_aware,0.93,0.92,-0.010000000000000009,9300,9200,-100,113.056,113.11,-0.054000000000002046,-0.0477639399943409,12449.312,12481.211,-31.898999999999432,-0.256231027063981,False
100,56,random,0.9374,0.9265,-0.01090000000000002,9374,9265,-109,112.918,113.181,-0.262999999999991,-0.232912378894411,12440.146,12512.311,-72.16499999999905,-0.5800976933871922,False
100,56,visit_frequency,0.9374,0.9448,0.007399999999999962,9374,9448,74,112.918,113.001,-0.08299999999999841,-0.07350466710356046,12440.146,12437.833,2.313000000000102,0.018593029374414913,False
100,56,distance_regret,0.9374,0.9446,0.007199999999999984,9374,9446,72,112.918,112.917,0.0010000000000047748,0.0008855983988423235,12440.146,12445.257,-5.110999999998967,-0.04108472681911424,False
100,56,routing_aware,0.9374,0.9212,-0.016199999999999992,9374,9212,-162,112.918,112.972,-0.053999999999987836,-0.04782231353724635,12440.146,12483.383,-43.23699999999917,-0.34756022959858485,False
200,40,random,0.9682,0.9621,-0.006099999999999994,9682,9621,-61,211.518,211.714,-0.19599999999999795,-0.09266350854300719,22244.96,22318.312,-73.35200000000259,-0.3297466032755401,False
200,40,visit_frequency,0.9682,0.9729,0.0047000000000000375,9682,9729,47,211.518,212.199,-0.6810000000000116,-0.3219584148866818,22244.96,22164.83,80.12999999999738,0.3602164265523399,False
200,40,distance_regret,0.9682,0.9689,0.0007000000000000339,9682,9689,7,211.518,211.985,-0.46700000000001296,-0.2207849922938062,22244.96,22296.767,-51.8070000000007,-0.2328932036740039,False
200,40,routing_aware,0.9682,0.9707,0.0025000000000000577,9682,9707,25,211.518,211.344,0.1740000000000066,0.08226250248206138,22244.96,22307.302,-62.34200000000055,-0.2802522459019956,False
200,48,random,0.9769,0.97,-0.006900000000000017,9769,9700,-69,211.287,211.587,-0.29999999999998295,-0.14198696559655016,22229.727,22349.141,-119.41400000000067,-0.5371815857207813,False
200,48,visit_frequency,0.9769,0.9788,0.0019000000000000128,9769,9788,19,211.287,211.708,-0.42099999999999227,-0.19925504172049974,22229.727,22190.381,39.34599999999773,0.1769972253820199,False
200,48,distance_regret,0.9769,0.9761,-0.0008000000000000229,9769,9761,-8,211.287,211.548,-0.2609999999999957,-0.12352866006900362,22229.727,22257.23,-27.50300000000061,-0.12372171732023796,False
200,48,routing_aware,0.9769,0.9708,-0.006099999999999994,9769,9708,-61,211.287,211.285,0.0020000000000095497,0.0009465797706482413,22229.727,22290.789,-61.06200000000172,-0.27468623433837813,False
200,56,random,0.9782,0.9738,-0.0043999999999999595,9782,9738,-44,211.353,211.586,-0.2330000000000041,-0.11024210680709717,22241.333,22355.476,-114.14300000000003,-0.5132021538457251,False
200,56,visit_frequency,0.9782,0.9811,0.0029000000000000137,9782,9811,29,211.353,211.29,0.0630000000000166,0.029807951625960644,22241.333,22208.246,33.086999999999534,0.14876356556506545,True
200,56,distance_regret,0.9782,0.9791,0.0009000000000000119,9782,9791,9,211.353,211.139,0.21399999999999864,0.10125240711037867,22241.333,22229.413,11.919999999998254,0.053593910041265305,True
200,56,routing_aware,0.9782,0.9724,-0.005799999999999916,9782,9724,-58,211.353,211.201,0.15200000000001523,0.07191759757373457,22241.333,22319.301,-77.96800000000076,-0.35055452836392836,False
400,40,random,0.9898,0.9898,0.0,9898,9898,0,410.111,410.313,-0.20199999999999818,-0.04925495780410625,40989.68,41100.14,-110.45999999999913,-0.2694824648545661,False
400,40,visit_frequency,0.9898,0.9912,0.0013999999999999568,9898,9912,14,410.111,410.601,-0.4900000000000091,-0.11947984813867688,40989.68,40734.009,255.6710000000021,0.6237448060097129,False
400,40,distance_regret,0.9898,0.9909,0.0010999999999999899,9898,9909,11,410.111,410.427,-0.3160000000000309,-0.07705231022821406,40989.68,41021.802,-32.12200000000303,-0.07836606677583974,False
400,40,routing_aware,0.9898,0.9908,0.0010000000000000009,9898,9908,10,410.111,409.993,0.117999999999995,0.02877269812318982,40989.68,41188.142,-198.46199999999953,-0.4841755290599964,False
400,48,random,0.9932,0.9905,-0.0026999999999999247,9932,9905,-27,410.009,410.221,-0.21199999999998909,-0.051706182059415545,40987.595,41174.367,-186.7719999999972,-0.4556793341985476,False
400,48,visit_frequency,0.9932,0.9931,-9.999999999998899e-05,9932,9931,-1,410.009,410.269,-0.2599999999999909,-0.06341324214834086,40987.595,40847.52,140.07500000000437,0.34174974159865773,False
400,48,distance_regret,0.9932,0.9933,9.999999999998899e-05,9932,9933,1,410.009,410.115,-0.10599999999999454,-0.025853091029707773,40987.595,41010.395,-22.799999999995634,-0.05562658653184124,False
400,48,routing_aware,0.9932,0.9911,-0.0020999999999999908,9932,9911,-21,410.009,409.957,0.05200000000002092,0.012682648429673718,40987.595,41158.32,-170.72499999999854,-0.41652846428290935,False
400,56,random,0.9937,0.9927,-0.0010000000000000009,9937,9927,-10,409.853,410.144,-0.2909999999999968,-0.07100106623594235,40992.638,41189.652,-197.01400000000285,-0.4806082497057224,False
400,56,visit_frequency,0.9937,0.9945,0.0008000000000000229,9937,9945,8,409.853,409.904,-0.05099999999998772,-0.012443485835162294,40992.638,40938.964,53.67399999999907,0.13093570606507215,False
400,56,distance_regret,0.9937,0.994,0.00029999999999996696,9937,9940,3,409.853,409.823,0.03000000000002956,0.007319697550104442,40992.638,41009.996,-17.358000000000175,-0.042344188729693796,False
400,56,routing_aware,0.9937,0.9911,-0.0026000000000000467,9937,9911,-26,409.853,409.841,0.012000000000000455,0.002927879020039003,40992.638,41230.454,-237.8159999999989,-0.5801431954684129,False
800,40,random,0.997,0.9968,-0.00019999999999997797,9970,9968,-2,808.801,808.9,-0.0989999999999327,-0.012240340949125024,76575.209,76777.822,-202.61299999999756,-0.26459346653562194,False
800,40,visit_frequency,0.997,0.9976,0.0006000000000000449,9970,9976,6,808.801,809.228,-0.42699999999990723,-0.052794197831099024,76575.209,76041.793,533.4159999999974,0.6965909815538308,False
800,40,distance_regret,0.997,0.9972,0.00019999999999997797,9970,9972,2,808.801,809.1,-0.29899999999997817,-0.03696830246253135,76575.209,76652.478,-77.26900000000023,-0.10090602560418768,False
800,40,routing_aware,0.997,0.9975,0.000500000000000056,9970,9975,5,808.801,808.716,0.08500000000003638,0.010509383643199794,76575.209,76903.499,-328.2899999999936,-0.42871577405684075,False
800,48,random,0.9976,0.9977,9.999999999998899e-05,9976,9977,1,808.776,808.877,-0.10099999999999909,-0.012488006567949482,76594.438,76929.581,-335.14300000001094,-0.4375552700053899,False
800,48,visit_frequency,0.9976,0.9977,9.999999999998899e-05,9976,9977,1,808.776,808.897,-0.12100000000009459,-0.01496087915567408,76594.438,76277.434,317.0040000000008,0.4138733937835027,False
800,48,distance_regret,0.9976,0.9979,0.00029999999999996696,9976,9979,3,808.776,808.791,-0.015000000000100044,-0.001854654440796963,76594.438,76619.5,-25.062000000005355,-0.03272039152504175,False
800,48,routing_aware,0.9976,0.997,-0.0006000000000000449,9976,9970,-6,808.776,808.604,0.17199999999991178,0.021266704254319094,76594.438,76986.082,-391.64400000000023,-0.5113217228645248,False
800,56,random,0.9985,0.9979,-0.0006000000000000449,9985,9979,-6,808.534,808.771,-0.23699999999996635,-0.02931231092322232,76596.946,76944.269,-347.32300000000396,-0.4534423604826281,False
800,56,visit_frequency,0.9985,0.9984,-0.00010000000000010001,9985,9984,-1,808.534,808.65,-0.11599999999998545,-0.014346953869594285,76596.946,76488.76,108.18600000000151,0.14124061813117395,False
800,56,distance_regret,0.9985,0.998,-0.000500000000000056,9985,9980,-5,808.534,808.556,-0.022000000000048203,-0.0027209740097569432,76596.946,76632.441,-35.495000000009895,-0.046339967653553575,False
800,56,routing_aware,0.9985,0.9968,-0.0017000000000000348,9985,9968,-17,808.534,808.585,-0.051000000000044565,-0.006307712477155514,76596.946,77154.413,-557.4670000000042,-0.7277927242686728,False
