budget,selector,left_L,right_L,jaccard
40,random,50,100,0.1432517280249869
40,random,50,200,0.14263253394761258
40,random,50,400,0.14237147178570939
40,random,50,800,0.14194097992239368
40,random,100,200,0.14339290410363714
40,random,100,400,0.14396842647142938
40,random,100,800,0.14280751235946323
40,random,200,400,0.14283885743542388
40,random,200,800,0.14249676673415015
40,random,400,800,0.1421053112465394
40,visit_frequency,50,100,0.762654981439243
40,visit_frequency,50,200,0.6894174888498446
40,visit_frequency,50,400,0.6376797353509548
40,visit_frequency,50,800,0.5965973317665392
40,visit_frequency,100,200,0.7799421874777507
40,visit_frequency,100,400,0.7095536697279075
40,visit_frequency,100,800,0.6571820613356224
40,visit_frequency,200,400,0.8067957200622983
40,visit_frequency,200,800,0.7371244336974346
40,visit_frequency,400,800,0.833261225058481
40,distance_regret,50,100,0.6992930940728657
40,distance_regret,50,200,0.6082755426321681
40,distance_regret,50,400,0.5582926099531266
40,distance_regret,50,800,0.5224083281825185
40,distance_regret,100,200,0.7293976853741378
40,distance_regret,100,400,0.6530073162103815
40,distance_regret,100,800,0.6061676839061998
40,distance_regret,200,400,0.770569592237823
40,distance_regret,200,800,0.7025275724340355
40,distance_regret,400,800,0.809011773048619
40,routing_aware,50,100,0.5117295092623667
40,routing_aware,50,200,0.32435245786572653
40,routing_aware,50,400,0.16270146709671118
40,routing_aware,50,800,0.16732153404726718
40,routing_aware,100,200,0.3833248489409265
40,routing_aware,100,400,0.19653578958200218
40,routing_aware,100,800,0.18259783631899867
40,routing_aware,200,400,0.26468936699767803
40,routing_aware,200,800,0.21587642804686474
40,routing_aware,400,800,0.2836772732640832
48,random,50,100,0.3331893488836539
48,random,50,200,0.3337903788364813
48,random,50,400,0.3327327151230512
48,random,50,800,0.33301874091047845
48,random,100,200,0.33348801794341476
48,random,100,400,0.3334471208209767
48,random,100,800,0.33390068575834253
48,random,200,400,0.33319112627986347
48,random,200,800,0.33381528525640597
48,random,400,800,0.33261194606652933
48,visit_frequency,50,100,0.8003064121513481
48,visit_frequency,50,200,0.7396447645390811
48,visit_frequency,50,400,0.70213635133456
48,visit_frequency,50,800,0.6695299104631109
48,visit_frequency,100,200,0.8130558149232624
48,visit_frequency,100,400,0.7602379841754605
48,visit_frequency,100,800,0.71650245459851
48,visit_frequency,200,400,0.8423704675383535
48,visit_frequency,200,800,0.7869715478390154
48,visit_frequency,400,800,0.8638877343139868
48,distance_regret,50,100,0.7720536506963285
48,distance_regret,50,200,0.6972914622844865
48,distance_regret,50,400,0.6589883157452922
48,distance_regret,50,800,0.6342512922842094
48,distance_regret,100,200,0.8070993705872892
48,distance_regret,100,400,0.7522095362251799
48,distance_regret,100,800,0.7202199817312638
48,distance_regret,200,400,0.8461595266446974
48,distance_regret,200,800,0.8007797376263922
48,distance_regret,400,800,0.8781035661430514
48,routing_aware,50,100,0.7647640157558131
48,routing_aware,50,200,0.6691119156230544
48,routing_aware,50,400,0.5785768182837081
48,routing_aware,50,800,0.49795454307143594
48,routing_aware,100,200,0.690748562018348
48,routing_aware,100,400,0.5912139530369114
48,routing_aware,100,800,0.506484663232886
48,routing_aware,200,400,0.6187437577193843
48,routing_aware,200,800,0.5230761263909492
48,routing_aware,400,800,0.5544097828334092
56,random,50,100,0.5997286860148519
56,random,50,200,0.5999846401474546
56,random,50,400,0.5999692805898127
56,random,50,800,0.5996246214221729
56,random,100,200,0.5993824251329086
56,random,100,400,0.5995393326721904
56,random,100,800,0.6003021370434738
56,random,200,400,0.6002748205291789
56,random,200,800,0.5997030951055484
56,random,400,800,0.5992204333460915
56,visit_frequency,50,100,0.8560428424182506
56,visit_frequency,50,200,0.7988027169116236
56,visit_frequency,50,400,0.7771459036786921
56,visit_frequency,50,800,0.7563066042982677
56,visit_frequency,100,200,0.8667605854658998
56,visit_frequency,100,400,0.8304938306256262
56,visit_frequency,100,800,0.8041358009100061
56,visit_frequency,200,400,0.8926991024820856
56,visit_frequency,200,800,0.8584182630479547
56,visit_frequency,400,800,0.9111810461805047
56,distance_regret,50,100,0.8082376072435588
56,distance_regret,50,200,0.7349745421402183
56,distance_regret,50,400,0.7036510377506354
56,distance_regret,50,800,0.6879023537235689
56,distance_regret,100,200,0.864400880991563
56,distance_regret,100,400,0.8213609208800816
56,distance_regret,100,800,0.80103163091819
56,distance_regret,200,400,0.9051852792684089
56,distance_regret,200,800,0.8772621008315019
56,distance_regret,400,800,0.9302559905494666
56,routing_aware,50,100,0.8479665591971448
56,routing_aware,50,200,0.7802632890720318
56,routing_aware,50,400,0.7074811579454221
56,routing_aware,50,800,0.6367380029832278
56,routing_aware,100,200,0.7995364394132072
56,routing_aware,100,400,0.7221525069374044
56,routing_aware,100,800,0.6501014812410963
56,routing_aware,200,400,0.7476691918544635
56,routing_aware,200,800,0.6698969896210336
56,routing_aware,400,800,0.7046674932409934
