phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,opq32,pq,1,50,1000,169.139,5.9123,2558.0,4366.65,5005.37,484.273,2138.588,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51072,1:49.97
full,opq32,pq,1,100,1000,82.1097,12.1788,6476.5,11254.15,12026.1,1462.829,5580.044,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51072,1:49.97
full,opq32,pq,1,200,1000,59.6715,16.7584,10484.5,17510.899999999998,19811.079999999998,2664.567,8054.433,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51072,1:49.97
full,opq32,pq,1,400,1000,36.3353,27.5215,20367.5,31448.849999999977,36833.74,5037.735,15462.951,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51072,1:49.97
full,opq32,pq,1,800,1000,21.2125,47.1419,39374.5,47842.649999999994,59280.0,9644.592,28803.922,76581.727,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51072,1:49.97
full,opq32,pq,2,50,1000,143.111,6.98759,2701.5,6329.549999999998,7311.48,591.972,2596.881,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51072,2:03.58
full,opq32,pq,2,100,1000,79.1314,12.6372,8180.0,11338.5,12098.88,1484.667,6003.191,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51072,2:03.58
full,opq32,pq,2,200,1000,56.3439,17.7481,10774.0,19289.25,20418.12,2762.215,8960.331,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51072,2:03.58
full,opq32,pq,2,400,1000,37.5132,26.6573,20111.0,25067.7,28699.23,4950.769,14689.624,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51072,2:03.58
full,opq32,pq,2,800,1000,17.0256,58.7352,43640.5,74505.3,76808.65,10626.653,39266.616,76581.727,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51072,2:03.58
full,opq32,pq,3,50,1000,116.88,8.55575,4149.5,7054.45,8085.09,754.528,3393.927,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51072,1:56.75
full,opq32,pq,3,100,1000,106.726,9.36982,4956.0,6954.15,8322.46,1145.395,3743.997,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51072,1:56.75
full,opq32,pq,3,200,1000,61.2829,16.3178,10370.0,13771.0,16697.41,2638.324,7652.331,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51072,1:56.75
full,opq32,pq,3,400,1000,29.6236,33.7569,25365.5,38631.15,39681.14,5565.254,21146.15,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51072,1:56.75
full,opq32,pq,3,800,1000,20.7519,48.1883,39561.5,58565.549999999916,73436.31,9779.083,29693.551,76581.727,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51072,1:56.75
full,opq64,pq,1,50,1000,91.7234,10.9023,6329.5,7758.299999999999,8493.2,1312.159,4499.603,7445.027,17.852,64.941,0.0,265998.336,0.0,265998.336,83328,2:10.09
full,opq64,pq,1,100,1000,73.2777,13.6467,9560.5,12187.599999999999,12962.619999999999,2143.883,6260.356,12432.056,29.611,112.815,0.0,462090.24,0.0,462090.24,83328,2:10.09
full,opq64,pq,1,200,1000,52.1,19.1939,11614.5,21248.699999999997,22229.37,3817.595,9390.985,22224.647,54.096,211.153,0.0,864882.688,0.0,864882.688,83328,2:10.09
full,opq64,pq,1,400,1000,30.9741,32.2851,22262.0,40367.7,42314.51,7347.434,17897.173,40999.637,103.64,409.755,0.0,1678356.48,0.0,1678356.48,83328,2:10.09
full,opq64,pq,1,800,1000,18.7693,53.2785,43039.5,75721.84999999999,78845.04,13813.609,30753.091,76613.175,203.24,808.466,0.0,3311476.736,0.0,3311476.736,83328,2:10.09
full,opq64,pq,2,50,1000,175.75,5.68991,2581.5,4338.349999999999,5334.549999999999,623.506,1999.002,7445.027,17.852,64.941,0.0,265998.336,0.0,265998.336,82432,2:03.37
full,opq64,pq,2,100,1000,102.318,9.77344,5307.5,8532.599999999999,10155.72,1583.444,3838.986,12432.056,29.611,112.815,0.0,462090.24,0.0,462090.24,82432,2:03.37
full,opq64,pq,2,200,1000,59.8662,16.7039,11126.0,13898.4,15919.58,3518.025,7318.228,22224.647,54.096,211.153,0.0,864882.688,0.0,864882.688,82432,2:03.37
full,opq64,pq,2,400,1000,28.6935,34.851,23990.0,40682.95,42190.62,7637.508,20163.741,40999.637,103.64,409.755,0.0,1678356.48,0.0,1678356.48,82432,2:03.37
full,opq64,pq,2,800,1000,17.9604,55.678,43237.5,77622.34999999999,80229.75,14131.494,32793.641,76613.175,203.24,808.466,0.0,3311476.736,0.0,3311476.736,82432,2:03.37
full,opq64,pq,3,50,1000,102.25,9.77998,5604.5,7375.199999999999,8399.66,1166.552,3859.437,7445.027,17.852,64.941,0.0,265998.336,0.0,265998.336,83328,2:04.68
full,opq64,pq,3,100,1000,84.4109,11.8468,5905.5,11771.199999999999,12531.08,1867.913,5208.544,12432.056,29.611,112.815,0.0,462090.24,0.0,462090.24,83328,2:04.68
full,opq64,pq,3,200,1000,57.1139,17.5089,11212.0,19387.399999999998,21125.329999999998,3627.748,8011.142,22224.647,54.096,211.153,0.0,864882.688,0.0,864882.688,83328,2:04.68
full,opq64,pq,3,400,1000,32.0677,31.184,22006.0,39541.55,41000.26,7177.561,17067.181,40999.637,103.64,409.755,0.0,1678356.48,0.0,1678356.48,83328,2:04.68
full,opq64,pq,3,800,1000,18.6818,53.528,42686.5,74829.59999999999,78749.77,13724.553,31181.44,76613.175,203.24,808.466,0.0,3311476.736,0.0,3311476.736,83328,2:04.68
